Rank,Application ID,Applicant Name,Eligibility Status,Composite Score,S1_Registration_Track_Record_5% Score,S1_Registration_Track_Record_5% Reason,S2_Financial_Position_20% Score,S2_Financial_Position_20% Reason,S3_Market_Demand_Competitiveness_20% Score,S3_Market_Demand_Competitiveness_20% Reason,S4_Business_Proposal_Viability_25% Score,S4_Business_Proposal_Viability_25% Reason,S5_Value_Chain_Alignment_10% Score,S5_Value_Chain_Alignment_10% Reason,S6_Inclusivity_Sustainability_20% Score,S6_Inclusivity_Sustainability_20% Reason,Ineligibility Criterion Failed,Reason,
11,209,MBWINJERU ARITHI DAIRY FARMERS CO-PERATIVE SOCIETY,Eligible,75.50,4,"Cooperative with 500 members in 2024, good growth (300 to 500) and moderate employment (13). [cite: 487][cite_start]",3.5,"Moderate financial scale (8.2M turnover) with steady, positive net profit growth, though not exceptional. [cite: 487]",4,"Strong domestic B2B sales (88%) to Meru Dairy Union. [cite_start]Clear strategy to add value (cheese/ghee). [cite: 490, 492][cite_start]",3.5,"Investment plan (Homogenizers, packaging) is relevant but lacks a detailed, phased strategy and budget. [cite: 488]",4,"Good value addition (bulking, chilling, pasteurizing milk). [cite_start]Backward linkage to farmer members is strong. [cite: 490]",3,"Generic sustainability practices (Tree planting, septic tanks). [cite_start]Not woman-owned. [cite: 494]",,,
12,529,KITHIRU DAIRY CO-OPERATIVE SOCIETY LTD,Eligible,72.00,4,"Large cooperative (5,800 members) with stable track record. [cite: 529][cite_start]",3,"Moderate financial scale, but inconsistent profit growth (profit dropped significantly in 2024). [cite: 529]",3.5,"Moderate B2B sales (50%) to Meru Dairy Union. [cite_start]Clear plan for value addition (Yoghurt). [cite: 529][cite_start]",3.5,"Investment plan (pasteurizer, fermentation tanks) is relevant but lacks strategic detail. [cite: 529]",4,"Good value addition (Yoghurt production). [cite_start]Strong backward linkage to farmer members. [cite: 529]",3,"Generic sustainability practices (Environmental management, waste disposal). [cite_start]Not woman-owned. [cite: 529]",,,
13,266,MERU YOUTH DAIRY PROCESSORS,Eligible,67.50,2.5,"Small MSME with low employee count (5) and low turnover, despite being operational for 3 years. [cite: 266][cite_start]",3,"Moderate financial scale (1.5M turnover in 2024) with positive, but low, profit. [cite: 266]",3,"Primarily B2C (70%) sales. [cite_start]Limited market expansion strategy. [cite: 266][cite_start]",3.5,"Investment plan focuses on essential equipment (pasteuriser, homogenizer) needed for value addition. [cite: 266]",3.5,"Good value addition (Yoghurt, Mala, Cheese). [cite_start]Backward linkage to local cooperatives. [cite: 266]",3,"Inclusivity focused on youth/women employment. [cite_start]Generic sustainability practices. [cite: 266]",,,
14,853,MT. KENYA FARMERS AND AGRO-PROCESSORS ASSOCIATION,Eligible,65.50,2.5,"Small Association with low turnover and employment. [cite_start]Track record is weak. [cite: 853][cite_start]",3,"Low financial scale (1.8M turnover) with low net profit (KES 100K in 2024). [cite: 853]",3,"Primarily B2C sales. [cite_start]Export focus mentioned but with no clear plan. [cite: 853][cite_start]",3,"Investment plan (packaging, labeling, processing machines) is generic and lacks detail. [cite: 853]",3,"Alignment in a priority VC (Tea). Value addition is moderate. [cite_start]Backward linkage to farmer members. [cite: 853]",3,"Generic sustainability (recycling, waste management). [cite_start]Not woman-owned. [cite: 853]",,,
15,210,Nyambene Arimi Dairy Farmers Cooperative Society Limited,Eligible,65.00,5,"Very large member base (6108) and high employment (26), showing significant scale and social footprint. [cite: 495][cite_start]",1,"Significant and sustained net losses (-1.3M in 2023, -0.5M in 2024), indicating a very weak financial position despite high turnover (99.8M). [cite: 495]",3,"High B2B sales (80%) to supermarkets/offtakers. [cite_start]Clear plan to improve quality and branding. [cite: 495][cite_start]",4,"Investment plan (bottling, sealing, cold room) directly addresses the core problem of post-harvest losses/spoilages. [cite: 501]",4,"Good value addition (raw milk aggregation/yoghurt). [cite_start]Backward linkage to farmer members is strong. [cite: 495]",4,"Woman-led roles in management. [cite_start]Sustainability focuses on water harvesting and waste management. [cite: 495, 503]",,,
16,368,Meru Youth Trainers,Eligible,60.50,3,"Organization type is ""Other (TVET)"" and track record is primarily tied to training, not cluster development. [cite: 428]",3,"High recovery and profit in 2024 (8M profit on 8M turnover). [cite_start]Financial data is highly volatile. [cite: 428]",1,"No B2B/Export sales reported (0% B2B), relying entirely on student/staff B2C sales. [cite_start]Very limited market reach. [cite: 428][cite_start]",4,"Proposal is clear, focusing on training infrastructure and equipment financing. [cite: 428][cite_start]",3,"Value chain is focused on training rather than deep value addition/direct farmer benefit. [cite: 428]",3,"Sustainability includes bamboo charcoal in ovens, solar power, and rainwater harvesting. [cite_start]Not woman-owned. [cite: 428]",,,
17,764,MERU FARMERS MARKETERS AND AGRIBUSINESS HUB ASSOCIATION,Eligible,55.50,2,"Small Association with low turnover and employment. [cite_start]Track record is poor. [cite: 764][cite_start]",3,"Low financial scale (1.5M turnover) with low net profit (KES 200K in 2024). [cite: 764]",3,"Primarily B2C sales. [cite_start]Limited market expansion strategy. [cite: 764][cite_start]",2.5,"Investment plan (aggregation centres, cold room) is relevant but lacks detail. [cite: 764]",2,"Alignment in a non-priority VC (Horticulture). [cite_start]Backward linkage is moderate. [cite: 764]",2.5,"Generic sustainability practices (Tree planting, waste management). [cite_start]Not woman-owned. [cite: 764]",,,
18,796,Meru Agro Processing & Packaging Hub Ltd,Eligible,45.00,2,"Private company with low turnover and employment. [cite_start]Track record is poor. [cite: 796][cite_start]",2,"Low financial scale (800K turnover) with very low net profit (KES 50K in 2024). [cite: 796]",2,"Primarily B2C sales. [cite_start]Limited market expansion strategy. [cite: 796][cite_start]",2,"Investment plan (packaging, labeling, processing machines) is generic and lacks detail. [cite: 796]",2,"Alignment in a non-priority VC (Horticulture). [cite_start]Backward linkage is moderate. [cite: 796]",2,"Generic sustainability practices (Waste management). [cite_start]Not woman-owned. [cite: 796]",,,
,214,CENTRAL IMENTI HORTICULTURE GROWERS,Ineligible,0.00,N/A,Application is Ineligible (DQ).,N/A,Application is Ineligible (DQ).,N/A,Application is Ineligible (DQ).,N/A,Application is Ineligible (DQ).,N/A,Application is Ineligible (DQ).,N/A,Application is Ineligible (DQ).,E4,"Application failed E4: Minimum Financial Evidence. [cite_start]The document summary confirms neither financial statements nor bank statements were provided. [cite: 214]",
,327,zeo natural cosmetics,Ineligible,0.00,N/A,Application is Ineligible (DQ).,N/A,Application is Ineligible (DQ).,N/A,Application is Ineligible (DQ).,N/A,Application is Ineligible (DQ).,N/A,Application is Ineligible (DQ).,N/A,Application is Ineligible (DQ).,E4,"Application failed E4: Minimum Financial Evidence. [cite_start]The document summary confirms neither financial statements nor bank statements were provided. [cite: 327]",
,342,AGRI-BIOTECH FARM INTERNATIONAL LTD,Ineligible,0.00,N/A,Application is Ineligible (DQ).,N/A,Application is Ineligible (DQ).,N/A,Application is Ineligible (DQ).,N/A,Application is Ineligible (DQ).,N/A,Application is Ineligible (DQ).,N/A,Application is Ineligible (DQ).,E3, E4,"Application failed E3: Priority Value Chain (operates in Coffee/Horticulture, which are not listed priorities). [cite_start]Also failed E4: Minimum Financial Evidence. [cite: 342]"
,854,TIGANIA EAST YOUTH POLYTECHNIC,Ineligible,0.00,N/A,Application is Ineligible (DQ).,N/A,Application is Ineligible (DQ).,N/A,Application is Ineligible (DQ).,N/A,Application is Ineligible (DQ).,N/A,Application is Ineligible (DQ).,N/A,Application is Ineligible (DQ).,E4,"Application failed E4: Minimum Financial Evidence. [cite_start]The document summary confirms neither financial statements nor bank statements were provided. [cite: 854]",
