Applicant Details,,"Eligibility Criteria
Decision Box – Eligibility
application_165_bundle.zip,Appplicant 165, PVT-EYU3ZZ63,Bungoma,Dairy,Thin financial evidence,748288486,Fail,Thin financial evidence,3,Registered for less than 1 year and has basic structure,1,"Minimal transactions, thin evidence",3,Most sales are local through the same channel,2,Has provided a vague plan but somewhat clear target with unclear resourcing,4,"Clear node participation-production and distribution, with some linkages",4,"Majority youth and women, above 30% women in leadership with one sustainability practice in place",P1,,60,20,60,40,80,80,6,4,12,10,12,8,52,5,47,395,
application_166_bundle.zip,Applicant_166,SHG 002309,Nandi,Dairy,Mpesa Statement,701413466,Fail,Financial records are locked and cant be verified.,2,Registered as MSME Association; functional leadership Likely 1 years in operation with regular governance.,0,No financial record(password protected),3,"Active, consistent sales to both B2B and B2C markets hotels, retailers, and individuals. Well-defined marketing plan with outreach",3,"Strong, detailed proposal with clear objectives, targets, and measurable KPIs",0,Not aligned to value chain ,4,100% youth participation (ages 40% women members with women-led welfare and treasury roles. Adopts  green practices:,,Tier 1,40,0,60,60,0,80,4,0,12,15,0,8,39,0,39,460,
application_167_bundle.zip,Applicant_167,ASS-ABE7BEC,Kisumu,Dairy,Nil,719540268,Fail,No financial evidence.,4,Legally registered with a structured leadership and demonstrable growth trajectory; lacks documented governance records,0,No verifiable financial evidence,4,"Multi-channel (digital, B2B, B2C, exports), indicating growing market channels and repeat demand.",3,"Clear direction (expansion and investment intent) but no quantified targets, budget details, or co-investment evidence.",5,Strong alignment to priority green recycling VC; fills a critical aggregation/processing node with clear linkages both upstream (waste actors) and downstream (recyclers),4,"Meets ≥ 50% women and ≥ 50% youth criteria + multiple green practices (“zero waste,” environmentally conscious processing).",,Tier 2,80,0,80,60,100,80,8,0,16,15,15,8,62,0,62,241,
application_170_bundle.zip,Applicant_170,BN-OVSKOWKM,Bungoma,Dairy,Nil,720582882,Fail,No financial evidence.,3,Registered for less than a year with minimal structure in place,0,No financial evidence provided,3,Regular local sales and orders both B2B and B2C but doesn't use digital marketing,4,"Strong plan with minor gaps, however, specific targets and timelines are in place",4,Clear node participation with some linkages,5,More than 2 sustainable practices in place with more than 50% being youth and women,P2,,60,0,60,80,80,100,6,0,12,20,12,10,60,3,57,296,
application_171_bundle.zip,Applicant_171 ,RA-QPTVAB,Nandi,Dairy,Bank Statement ,769290318,Fail,Shallow Financial records ,3,Registered as an MSME Association; leadership structure in place  Appears newly active in 2024,0,No reported turnover ,1,"Has a defined product and sales model However, lacks sales data ",2,The group demonstrates a clear direction and growth goal,0,Poultry is not aligned to the value chain,4,100% youth group  and more than half female participation,,Tier 1,60,0,20,40,0,80,6,0,4,10,0,8,28,0,28,499,
application_172_bundle.zip,Applicant_172,125600,Nairobi,Other,Bank Statement ,796524514,Fail,Out of scope in value chain,5,Registered for more than 3 years with clear governance.,4,"Turn-over 4.5M- 8M stable, positive growth ",4,"Repeat B2B clients, competitive differentiation via customized training ",5,"Excellent clarity,problem, solution, targets, budgets,risks and planned LMS investment.",0,Not in any priority VC,5," 2 female directors,strong ESG and digital transformation and green practices.",,Tier 2,100,80,80,100,0,100,10,16,16,25,0,10,77,0,77,111,
application_173_bundle.zip,Applicant_173,PVT-RXU2PDGK ,Kisii,Other,Bank Statement ,725661082,Fail,Out of scope in value chain,3,Registered <1 year; basic structure in place,0,No verifiable financial evidence; unrelated attachment,2,"Intermittent early engagement, but weak channel validation and no paying customers.",3,"Direction clear and well-articulated but lacks quantified targets, financial planning, or implementation structure.",2,"Peripheral role as a financial service provider, not a direct value chain acto",3,"Moderate inclusion, limited sustainability evidence.",,Tier 2,60,0,40,60,40,60,6,0,8,15,6,6,41,0,41,446,
application_174_bundle.zip,Applicant_174,RA-R7T55P,Bungoma,Construction,Blank,721772539,Fail,No Financial evidence,4,Registered for a little over one year with a basic structure in place,0,No financial evidence,4,Consistent monthly order and sales both local and to larger businesses within the value chain,4,Strong plan with few gaps but clear and address the problem statement,4,Clear node participation with some linkages,5,Above 50% women and youth with more than two sustainability practices,DQ1,,80,0,80,80,80,100,8,0,16,20,12,10,66,#N/A,0,520,
application_176_bundle.zip,Applicant_176,BN-ZWS8OME9,Nairobi,Other,No financial evidence,799413089,Fail,Out of scope in value chain,3,"Legally registered for less than 1 year,basic structure,no governance.",3,Turn over of KSH 1.5M,4,"Export to Rwanda,Sudan, Uganda,local B2B clients like Argyle,hotel,clear product mix and demand.",5,"Very strong, Smart goals, expansion strategy,risk/solution clarity, certification planned.",0,Not in priority VC,5,"50& women,100& youths,solar, biodegradable packaging,zero waste, organic farming ",,Tier 2,60,60,80,100,0,100,6,12,16,25,0,10,69,0,69,173,
application_177_bundle.zip,Applicant_177, CS/15957,Murang'a,Dairy,Balance sheet,715944833,Pass,All Requirements met.,5,functioning governance and audited handover(s).,5,positive 2-yr trend,5,Active offtake/buyer contracts or purchase orders,4,Strong plan with minor gaps; targets & timelines present,4,clear node participation,3, Moderate inclusion,,,100,100,100,80,80,60,10,20,20,20,12,6,88,0,88,37,Emmanuel
application_178_bundle.zip,Applicant_178,PVT-BEUEGKDQ,Bungoma,Dairy,Bank Statement,743241044,Fail,"Bank Statement is locked, not verifiable.",5,Registered more than 3 years with functioning governance,0,Financial evidence provided cannot be accessed,4,"Regular sales, both B2B and B2C with digital marketing",2,Vague plan with unclear resourcing,5,"Fills a critical node, processing, with strong linkages",5,100% memebers are youth and above 30% women leadership with two sustainability practices in place,,,100,0,80,40,100,100,10,0,16,10,15,10,61,0,61,250,
application_179_bundle.zip,Applicant_179,PVT-PJU2RDX5,Nairobi,Dairy,Bank Statement,726441744,Fail,Financial records are locked and cant be verified.,5,"Private company legally registered for more than 3 years with functioning governance (CEO, Manager, Director)",3,Turn over of KES 1.15M-2.45M over 3 years with stable growth records in Excel.,5,"Active sales Via digital channels 100& B2C with repeat customers(school, parents,middle class), clear product differentiation and competitive pricing.",4,"Clear problem -solution (affordable and quality issues), targets aligned to schools seasons,plans for machinery acquisition budget not fully coated but plan is feasible.",5,"Priority VC (Textiles, leather) critical node(processing finished leather goods from procured materials, clear linkages to tanneries.",4,"Women represented COO, strong youth participation,9/10 employees, recycling waste through kirdi",,Tier 2,100,60,100,80,100,80,10,12,20,20,15,8,85,0,85,52,
application_180_bundle (1).zip,Applicant_180,BN-KYCD5258,Kakamega,Other,Bank Statement,719400844,Fail,Out of scope value chain,5,registered >3yrs,2,Turnover<1M,4,consistent monthly orders,2,vague plan,3,"weak linkage, potential to upgrade",3,moderate inclusion and some intent on sustainability,,,100,40,80,40,60,60,10,8,16,10,9,6,59,0,59,272,
application_181_bundle.zip,Applicant_181,915,Kisumu,Dairy,Nil,712391941,Fail,No financial records provided ,0,No registration certificate attached,0,No verifiable financial evidence,3,"Engaged in regular local and online sales (multi-channel), but no evidence of consistent contracts or quality assurance.",1,"No structured business plan, targets, or financial direction; response blank",0,Detergents fall outside the approved priority value chains,3,Strong female ownership and leadership; at least one green practice noted (“drought resilient”).,,Tier 2,0,0,60,20,0,60,0,0,12,5,0,6,23,0,23,508,
application_182_bundle.zip,Applicant_182,BN-2OSJ2Q86,Turkana,Other,Mpesa Statement,716811112,Fail,"Out of scope in value chain, stationary distribution",3,Registered and functional but limited governance structure and small-scale operations.,2,"There is some financial activity, consistent with a small-scale trader, but turnover and profit records remain thin and unverified beyond M-Pesa flows.",3,"Has a defined market (schools and offices), some digital presence, but limited operational scale.",3,Good growth intent but underdeveloped plan and unclear financial pathway.,0,Out of scope in value chain - Stationery distributer,5,Youth-led enterprise with strong eco-conscious practices and active participation in sustainability.,,Tier 2,60,40,60,60,0,100,6,8,12,15,0,10,51,0,51,358,
application_183_bundle.zip,Applicant-183,NYASL/S/SK-7345/23,Nyandarua,Rice,Nil,758942446,Fail,No financial records provided ,3,"Registered as a Community-Based Organization  Formally recognized, with clear office bearers Registration appears to be within 1–2 years ",0,No financial record hence we cannot determine financial position,2,"Activities include farming  However, sales seem mainly to membersand they indicate “no market” as a challenge. Limited external customer base, weak channels, and no e-commerce presence",2,"The group has a clear social and empowerment focus — supporting youth, widows, elderly, and single mothers through table banking and production of crafts and farm produce.",0,Out of scope of value chain ,4,"strong inclusion and representation of youth and vulnerable groups (PWDs, widows, single mothers). Practicing tree and fruit planting, which promotes environmental sustainability. ",,Tier 1,60,0,40,40,0,80,6,0,8,10,0,8,32,0,32,485,
application_184_bundle.zip,Applicant_184,KJET-8EFB0184,Nyandarua,Other,bank statements,722746907,Fail,Out of scope in value chain,5,"Registered as a Community-Based Organisation in 2020 ,>4 years operational. Leadership clearly listed",3,Reported turnover: KES 1M  → 3M   with strong profitability ,4,Strong market activity — selling to major markets ) and local retailers.,2,"Expansion plan clear ,solution articulated However, no costed budget, targets, or execution milestones.",0,Out of scope of value chain ,3,strong youth inclusion. Adopted 3 green practices:,,Tier 1,100,60,80,40,0,60,10,12,16,10,0,6,54,0,54,327,
application_185_bundle.zip,Applicant_185,PVT-XYU8AA53,Nakuru,Dairy,Bank statements,727683755,Pass,All requirements met and satisfied,5,Well-structured governance with clear leadership roles; operational for multiple years with consistent growth and audits implied by financial reporting.,5,Turnover consistently above 10M with strong profitability and documented upward trend (especially 2023–2024). Meets top rubric requirements.,5,"Strong demand with B2B contracts, large daily processing volumes, diversified customer base, and clear competitiveness strategy vs. larger firms.",4,"Proposal is comprehensive with quantified, time-bound targets, strong feasibility, and risk strategies. Clear growth trajectory with co-investment in equipment.",5,Critical node in the dairy value chain with upstream farmer linkages and downstream B2B distribution.,5,"High women and youth participation, inclusive leadership, and multiple sustainability practices adopted.",,Tier 2,100,100,100,80,100,100,10,20,20,20,15,10,95,0,95,10,Alvin
application_186_bundle.zip,Applicant_186,PVT-JZUGQALK,Tharaka Nithi,Dairy,Bank statements,723265428,Pass,All requirements met and satisfied,4,"Properly registered with functioning leadership, but short track record (about 2–3 years).",4,"Meets >10M turnover benchmark, positive growth, but profitability margins still weak and inconsistent.",4,"Diverse customer base and product mix; strong farmer integration. However, reliance on larger processors and lack of long-term contracts make competitiveness somewhat fragile.",4,"Proposal shows clear direction with growth markets identified, but targets lack precise timelines and quantified SMART indicators (e.g., exact % growth or capacity goals).",5,Strong role across multiple points in the dairy VC with both upstream farmer support and downstream consumer linkages.,4,"Strong inclusivity in ownership/leadership and youth participation, plus sustainability practices. Female staff ratio still relatively low compared to best rubric.",,Tier 1,80,80,80,80,100,80,8,16,16,20,15,8,83,0,83,65,Alvin
application_187_bundle.zip,Applicant_187,DSD/6/23/01/44680,Taita Taveta,Dairy,Cash Book registry,727060649,Pass,All requirements met and satisfied,3,"Proper registration with leadership, but short operational history and small scale.",1,"Minimal transactions and small scale; basic records exist, but financial evidence is weak.",1,"Very limited market demand evidence, small volumes, weak competitiveness, and no clear differentiation.",2,"Growth direction is clear, but targets are broad, unquantified, and lack detailed execution steps.",2,Participates in priority VC but role is peripheral and very small-scale.,3,"Moderate inclusion of women and youth, some sustainability practices, but not at scale.",,Tier 2,60,20,20,40,40,60,6,4,4,10,6,6,36,0,36,475,Alvin
application_190_bundle.zip,Applicant_190 ,PVT-BEUKD69,Migori,Edible Oils,Mpesa- Statements,790487908,Pass,All requirements met and satisfied,5,Well-established registration with functioning governance and >5 years of operations.,2,"Clear financial activity and growth, but consistent negative profitability weakens stability.",4,"Active market channels, repeat B2B partnerships, and competitive positioning. Some exposure to strong competition but distinct niche.",4,"Very clear vision, structured and ambitious targets, but risk of financial sustainability and execution feasibility.",5,Strong role in the edible oils value chain with clear upgrading and integration of farmers.,5,"Strong inclusivity (women & youth), robust sustainability practices and green initiatives.",,Tier 1,100,40,80,80,100,100,10,8,16,20,15,10,79,0,79,93,Alvin
application_191_bundle.zip,Applicant_191,BN-7ZCXBRZA,Nairobi,Other,Income Statement,725667892,Fail,Out of scope in value chain,4,MSME registered for Less than 3 years with basic leadership structure (Director).,1,Turnover 30-70k stable but very small statement exists ,4,"Active sales B2B and B2C, regular orders,some differentiation via unique flavours and health focused products.",5,"Clear problem solutions, qualified objectives, equipment plan,Smart targets, budget roughly outlined risk awareness present.",0,"Hypothetically fills processing node, sourcing, processing, packaging,sales described,value chain not formally priority VC.",4,"women-owned 51&, youth participation,some green practices (local sourcing)",,Tier 2,80,20,80,100,0,80,8,4,16,25,0,8,61,0,61,250,
application_193_bundle.zip,Applicant_193,C/S927,Uasin Gishu,Dairy,Balance Sheets,723175989,Pass,All requirements met and satisfied,5,"Long-standing, formal registration and proven cooperative structure.",4,"Strong revenues and stable profitability, but low margins reflect scale and cost pressures.",4,"High market demand, institutional buyers, good brand steps, but vulnerable to large processors.",5,"Ambitious, well-documented, realistic with clear KPIs and monitoring.",5,Strong role in priority VC with deep farmer integration.,5,Excellent inclusivity and sustainability practices.,,Tier 1,100,80,80,100,100,100,10,16,16,25,15,10,92,0,92,22,Alvin
application_194_bundle.zip,Applicant_194,BN/2012/154868,Uasin Gishu,Textile,Mpesa- Statements,722346163,Pass,All requirements met and satisfied,5,Strong track record and compliance.,5,Solid financial performance with profitability.,4,Strong demand but vulnerable to larger players and imports.,4,"Practical growth plan, though financing remains a barrier.",1,Relevant for Kenya’s economy but out of program scope,5,Excellent inclusivity and sustainability practices.,,Tier 2,100,100,80,80,20,100,10,20,16,20,3,10,79,0,79,93,Alvin
application_195_bundle.zip,Applicant_195,CS 1043,Nyandarua,Dairy,Bank statements,701498080,Pass,All requirements met and satisfied,5,Long operational history with governance,3,Fits rubric band KES 1–<5M = score 3.,4,"Evidence of consistent demand and multiple buyers, but no contracts attached",4,"Clear direction, feasible plan, but not fully costed",5,Fills a critical node in a priority VC,5,Meets full inclusivity & sustainability anchor,,Tier 1,100,60,80,80,100,100,10,12,16,20,15,10,83,0,83,65,Alvin
application_196_bundle.zip,Appliacant_196,CS/26414,Kericho,Dairy,Statement of cashflows,722523377,Pass,All requirements met and satisfied,5,Registered and functioning governance,5,Meets ≥10M turnover with positive trend,5,"Multi-channel sales, contracts with major processors, repeat customers",5,Detailed execution plan with SMART goals and investments,5,Fills a critical node in the Dairy VC with documented linkages upstream & downstream,4,"Strong gender/youth participation, at least 1–2 green practices",,Tier 1,100,100,100,100,100,80,10,20,20,25,15,8,98,0,98,5,Alvin
application_197_bundle.zip,Applicant_197,CS/0894,Kiambu,Dairy,Mpesa- Statements,713833814,Pass,All requirements met and satisfied,5,Registered and well-governed,5,Fits rubric for ≥10M with strong stability and growth.,5,"Multiple channels, brand presence, and large customer base",5,"Well-structured plan with targets, investments, and timelines",5,Strong alignment and multiple roles in dairy value chain,5,Meets women/youth leadership participation + multiple green practices,,Tier 1,100,100,100,100,100,100,10,20,20,25,15,10,100,0,100,1,Alvin
application_198_bundle (1).zip,Applicant 198,KJET-A28F0198,West Pokot,Dairy,Bank Statements,726943444,Pass,All documents presented,5,Well structured,2, 921413 Turnover,3,Regular local sales,4,Has strong plan,4,Strong linkages,5,High women and green practices adopted,,,100,40,60,80,80,100,10,8,12,20,12,10,72,0,72,148,Laureen
application_199_bundle (1).zip,Applicant_199,KJETB7190199,Nairobi .,Dairy, Bank statements ,706892217,Pass,All documents  presented ,4,1-3 yes documented leadership ,1,Reported turnover,3,Weak evidence,2,Vagu7e plan,3,Weak linkages,4,Strong gender,,,80,20,60,40,60,80,8,4,12,10,9,8,51,0,51,358,Laureen
application_200_bundle.zip,Applicant_200,CS/12415,Nakuru,Dairy,Bank  statements,726072377,Pass,All documents presented ,3,"Formal entity, but limited operational maturity",1,"Financial distress, very weak position",2,Extremely limited market linkages and dependency on one buyer,2,"Aspirational but vague, no financial capacity to implement.",3,"Aligned but only basic role in chain, low integration.",2,ome inclusivity but limited sustainability evidence.,,Tier 2,60,20,40,40,60,40,6,4,8,10,9,4,41,0,41,446,Alvin
application_201_bundle.zip,Applicant_201,CS/11254,Kitui,Construction,Cash Book registry,722694365,Pass,All requirements met and satisfied,4,1–3 years+ documented leadership; regular governance,2,turnover <1M; sporadic/early-stage records,3,"regular local sales, emerging demand, but limited traction so far)",4,"Ambitious growth plan: sand yards, depots, packaging, processing plant, cabro-blocks, poles.",5,"priority VC, critical aggregation/processing role with strong upstream & downstream linkages",4,strong gender/youth participation + multiple sustainability practices,,Tier 1,80,40,60,80,100,80,8,8,12,20,15,8,71,0,71,153,Alvin
application_202_bundle.zip,Applicant_202,CS/1050,Nyandarua,Dairy,Balance Sheets,712096437,Pass,All requirements met and satisfied,5,"registered ≥3 yrs, active governance, audited continuity",5,"turnover >10M, positive multi-year trend, formal systems",5,"active contracts/channels, multi-market presence, defensible quality)",5,"clear problem-solution, quantified targets, detailed execution plan",5,critical VC node with extensive linkages),5,"strong gender balance, youth engagement, multiple green practices",,Tier 1,100,100,100,100,100,100,10,20,20,25,15,10,100,0,100,1,Alvin
application_203_bundle.zip,Applicant_203,PVT-KAUZEAY7,Trans Nzoia,Dairy,Statement of cashflows,724975807,Pass,All requirements met and satisfied,3,<3 years but registered with governance in place,3,turnover 1–5M; stable/recovering; basic records,3,"regular sales, one main channel, some differentiation on freshness/locality",4,strong plan with some gaps in resourcing & execution capacity,4,"priority VC, clear node participation, building linkages",5,≥30% women leadership/ownership + youth + 2+ green practices,,Tier 1,60,60,60,80,80,100,6,12,12,20,12,10,72,0,72,148,Alvin
application_204_bundle.zip,Applicant_204,PVT-MKU5BK2,Makueni,Construction,Mpesa- Statements,701008001,Pass,All requirements met and satisfied,2,"Registered, operational for 3+ years, but very limited governance detail",2,"KES 0.7–1.5M, fluctuating, uses receipt book only",1,"Very weak description (""sales channel""), no competitor mapping",1,"""Expansion"" only, vague, no structured plan",0,"Not aligned (construction), lacks defined supply chain node",3,"100% woman-owned, youth employees, but no green practices",,Tier 2,40,40,20,20,0,60,4,8,4,5,0,6,27,0,27,503,Alvin
application_205_bundle.zip,Applicant_205,RA-YLTZEK,Lamu,Construction,Locked Mpesa Statements,727934457,Fail,Unverifiable financial statements,4,Registered for 1 year,0,No verifiable financials for last 12 months,4,Limited high-value B2B contracts; digital presence still developing.,4,Implementation depends on external financing; risk of delays in equipment acquisition.,5,Directly involved in production and distribution; contributes to affordable housing.,4,Strong women/youth inclusion; multiple green initiatives implemented.,,Tier 2,80,0,80,80,100,80,8,0,16,20,15,8,67,0,67,191,
application_206_bundle.zip,Applicant_206,CS/5023,Uasin Gishu,Dairy,Bank Statements,721948508,Pass,All requirements met and satisfied,5,"Cooperative registered, >3 yrs in existence, growing membership (353 → 651).",4,Turnover growth: 13.3M (2022) → 22.5M (2023) → 38.3M (2024).,4,"large consistent demand, multiple sales channels, clear competitor landscape",4,well-articulated plan with clear growth pathway,4,"clear VC role, expanding beyond bulking into processing)",4,"good female participation, some youth inclusion, multiple green practices",,Tier 1,100,80,80,80,80,80,10,16,16,20,12,8,82,0,82,70,Alvin
application_207_bundle.zip,Applicant_207,26834,Isiolo,Dairy,Bank Statements,728627410,Pass,All requirements met and satisfied,3,"Registered MSME association, growing membership (90 → 310 in 3 years).",2,Very low turnover (15k → 25k → 500k).,2,"limited market penetration, unclear competitive edge",2,"aspirational but weak, lacks concrete growth roadmap",3,aligned but underdeveloped role,3,"strong women inclusion, weak youth, sustainability mostly conceptual",,Tier 2,60,40,40,40,60,60,6,8,8,10,9,6,47,0,47,395,Alvin
application_208_bundle.zip,Applicant_208,CS/13928,Laikipia,Dairy,Income Statement,721295184,Fail,Income statement has limited financial records,5,Registered for 14 years,0,Unverifiable financial statements,4,"no contracts or purchase orders cited, limited pricing competitiveness vs competitors.",3,"lacks detailed costed budget, SMART KPIs, timelines, risk mitigation, co-investment plan.",5,"Core actor in the dairy chain (collection, aggregation, logistics, and AI services). Upstream support (inCore actor in the dairy chain (collection, aggregation, logistics, and AI services). Upstream support (inputs) and downstream aggregation show strong integration.puts) and downstream aggregation show strong integration.",3,"52% women participation, 30% board representation, 20% youth. Sustainable practices include biogas, organic farming, and waste management (soak pit). Good gender inclusion, could further expand youth involvement.",,Tier 1,100,0,80,60,100,60,10,0,16,15,15,6,62,0,62,241,
application_209_bundle.zip,Applicant_209,KJET-B6220209,Meru,Dairy,Bank Statements,721770094,Pass,All documents presented,5,Registered more than 5 years,4,"8,216,000 turn over Stable Bank statements",4,Consistent and growing orders but no digital channels,4,"quantified targets, growth direction, execution steps, but budget and risk details are thin.",5,"Priority dairy VC; aggregation, processing, strong upstream/downstream linkages.",4,Strong gender balance but low youth inclusivity 100/513,,Tier 1,100,80,80,80,100,80,10,16,16,20,15,8,85,0,85,52,Audrey
application_210_bundle.zip,Applicant_210,CS/15746,Meru,Dairy,Balance Sheets,721871893,Pass,All documents presented,5,"Registered more than 5 years, governance, evidence of operation but not audit handovers",5,"over 90M turnover, 2 yr trend, stamped income statements",4,"Strong consistent market demand, but no active contracts/POs or digital/export channels",4,"Strong plan with quantified targets, clear execution, and risk management no costed budget",5,"Priority dairy VC; aggregation, processing, strong upstream/downstream linkages.",5,"30% women leadership, multiple green practices, strong inclusivity",,Tier 1,100,100,80,80,100,100,10,20,16,20,15,10,91,0,91,24,Audrey
application_211_bundle.zip,Applicant_211,Cs/14527,Nyandarua,Dairy,"Balance Sheets, Bank and Income statements excel imports",701691150,Pass,All documents presented,5,Registered more than 5 years,5,Turnover >10M; mostly stable; bank/Mpesa + one statement.,3,Regular local sales; one channel; emerging quality practices,4,"Strong plan with quantified targets, clear execution, and risk management no costed budget",5,Fully aligned with dairy priority value chain,3,moderate inclusion no green practices ,P1,Tier 1,100,100,60,80,100,60,10,20,12,20,15,6,83,5,78,102,Audrey
application_212_bundle.zip,Applicant_212,BN-7ZCXBA79,Nandi,Dairy,Mpesa- Statements,712212727,Fail,Mpesa statement is password protected,3,Registered Sole Proprietorship with an identifiable business premise in Nandi Hills. Has documented leadership,0,Mpesa statement is password protected hence to evidence of financial record ,3,"Serves B2C (farmers) and  B2B  with diverse products — dairy, layer, grower, dog meal, silage, and mixing services",3,"Clear, quantified plan: scale to 20,000 kg feed / month by 2026, acquire machinery (pelletizer, baler, mixer, tractor),",2,"Operates in Animal Feeds / Livestock Production, a priority node under Dairy VC. Engages in processing and forward distribution to dairy/poultry farmers",3,Good youth participation but  fewer female,,Tier 2,60,0,60,60,40,60,6,0,12,15,6,6,45,0,45,414,
application_213_bundle (1).zip,Applicant_213,CS/21240,Kakamega,Edible Oils,Bank Statements,728423430,Fail,Bank statement has limited financial records,5,registered>3yrs,1,thin evidence,0,no market evidence,2,vague plan,5,critical node ,4,strong gender participation and 2 green practices,,,100,20,0,40,100,80,10,4,0,10,15,8,47,0,47,395,
