Applicant Details,,"Eligibility Criteria
Decision Box – Eligibility
application_167_bundle.zip,Applicant_167,ASS-ABE7BEC,Kisumu,Dairy,Nil,719540268,Fail,No financial evidence.,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,
application_170_bundle.zip,Applicant_170,BN-OVSKOWKM,Bungoma,Dairy,Nil,720582882,Fail,No financial evidence.,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,
application_171_bundle.zip,Applicant_171,RA-QPTVAB,Nandi,Dairy,Bank Statement ,769290318,Fail,Shallow Financial records ,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,
application_172_bundle.zip,Applicant_172,125600,Nairobi,Other,,,Fail,Out of scope in value chain,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,
application_173_bundle.zip,Applicant_173,PVT-RXU2PDGK ,Kisii,Other,,,Fail,Out of scope in value chain,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,
application_174_bundle.zip,Applicant_174,RA-R7T55P,Bungoma,Construction,Blank,721772539,Fail,No Financial evidence,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,
application_176_bundle.zip,Applicant_176,BN-ZWS8OME9,Nairobi,Other,No financial evidence,799413089,Fail,Out of scope in value chain,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,
application_177_bundle.zip,Applicant_177, CS/15957,Murang'a,Dairy,Balance sheet,715944833,Pass,All Requirements met.,5,functioning governance and audited handover(s).,5,positive 2-yr trend,5,Active offtake/buyer contracts or purchase orders,4,Strong plan with minor gaps; targets & timelines present,4,clear node participation,3, Moderate inclusion,,,100,100,100,80,80,60,10,20,20,20,12,6,88,0,88,35,
application_178_bundle.zip,Applicant_178,PVT-BEUEGKDQ,Bungoma,Dairy,Bank Statement,743241044,Fail,"Bank Statement is locked, not verifiable.",,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,
application_179_bundle.zip,Applicant_179,PVT-PJU2RDX5,Nairobi,Dairy,Bank Statement,726441744,Fail,Financial records are locked and cant be verified.,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,
application_180_bundle (1).zip,Applicant_180,BN-KYCD5258,Kakamega,Other,Bank Statement,719400844,Fail,Out of scope value chain,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,
application_181_bundle.zip,Applicant_181,915,Kisumu,Dairy,Nil,712391941,Fail,No financial records provided ,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,
application_182_bundle.zip,Applicant_182,BN-2OSJ2Q86,Turkana,Other,Mpesa Statement,716811112,Fail,"Out of scope in value chain, stationary distribution",,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,
application_183_bundle.zip,Applicant_183,NYASL/S/SK-7345/23,Nyandarua,Rice,Nil,758942446,Fail,No financial records provided ,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,
application_184_bundle.zip,Applicant_184,KJET-8EFB0184,Nyandarua,Other,bank statements,722746907,Fail,Out of scope in value chain,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,
application_185_bundle.zip,Applicant_185,PVT-XYU8AA53,Nakuru,Dairy,Bank statements,727683755,Pass,All requirements met and satisfied,5,Well-structured governance with clear leadership roles; operational for multiple years with consistent growth and audits implied by financial reporting.,5,Turnover consistently above 10M with strong profitability and documented upward trend (especially 2023–2024). Meets top rubric requirements.,5,"Strong demand with B2B contracts, large daily processing volumes, diversified customer base, and clear competitiveness strategy vs. larger firms.",4,"Proposal is comprehensive with quantified, time-bound targets, strong feasibility, and risk strategies. Clear growth trajectory with co-investment in equipment.",5,Critical node in the dairy value chain with upstream farmer linkages and downstream B2B distribution.,5,"High women and youth participation, inclusive leadership, and multiple sustainability practices adopted.",,Tier 2,100,100,100,80,100,100,10,20,20,20,15,10,95,0,95,10,
application_186_bundle.zip,Applicant_186,PVT-JZUGQALK,Tharaka Nithi,Dairy,Bank statements,723265428,Pass,All requirements met and satisfied,4,"Properly registered with functioning leadership, but short track record (about 2–3 years).",4,"Meets >10M turnover benchmark, positive growth, but profitability margins still weak and inconsistent.",4,"Diverse customer base and product mix; strong farmer integration. However, reliance on larger processors and lack of long-term contracts make competitiveness somewhat fragile.",4,"Proposal shows clear direction with growth markets identified, but targets lack precise timelines and quantified SMART indicators (e.g., exact % growth or capacity goals).",5,Strong role across multiple points in the dairy VC with both upstream farmer support and downstream consumer linkages.,4,"Strong inclusivity in ownership/leadership and youth participation, plus sustainability practices. Female staff ratio still relatively low compared to best rubric.",,Tier 1,80,80,80,80,100,80,8,16,16,20,15,8,83,0,83,58,
application_187_bundle.zip,Applicant_187,DSD/6/23/01/44680,Taita Taveta,Dairy,Cash Book registry,727060649,Pass,All requirements met and satisfied,3,"Proper registration with leadership, but short operational history and small scale.",1,"Minimal transactions and small scale; basic records exist, but financial evidence is weak.",1,"Very limited market demand evidence, small volumes, weak competitiveness, and no clear differentiation.",2,"Growth direction is clear, but targets are broad, unquantified, and lack detailed execution steps.",2,Participates in priority VC but role is peripheral and very small-scale.,3,"Moderate inclusion of women and youth, some sustainability practices, but not at scale.",,Tier 2,60,20,20,40,40,60,6,4,4,10,6,6,36,0,36,226,
application_190_bundle.zip,Applicant_190,PVT-BEUKD69,Migori,Edible Oils,Mpesa- Statements,790487908,Pass,All requirements met and satisfied,5,Well-established registration with functioning governance and >5 years of operations.,2,"Clear financial activity and growth, but consistent negative profitability weakens stability.",4,"Active market channels, repeat B2B partnerships, and competitive positioning. Some exposure to strong competition but distinct niche.",4,"Very clear vision, structured and ambitious targets, but risk of financial sustainability and execution feasibility.",5,Strong role in the edible oils value chain with clear upgrading and integration of farmers.,5,"Strong inclusivity (women & youth), robust sustainability practices and green initiatives.",,Tier 1,100,40,80,80,100,100,10,8,16,20,15,10,79,0,79,81,
application_191_bundle.zip,Applicant_191,BN-7ZCXBRZA,Nairobi,Other,Income Statement,725667892,Fail,Out of scope in value chain,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,
application_193_bundle.zip,Applicant_193,C/S927,Uasin Gishu,Dairy,Balance Sheets,723175989,Pass,All requirements met and satisfied,5,"Long-standing, formal registration and proven cooperative structure.",4,"Strong revenues and stable profitability, but low margins reflect scale and cost pressures.",4,"High market demand, institutional buyers, good brand steps, but vulnerable to large processors.",5,"Ambitious, well-documented, realistic with clear KPIs and monitoring.",5,Strong role in priority VC with deep farmer integration.,5,Excellent inclusivity and sustainability practices.,,Tier 1,100,80,80,100,100,100,10,16,16,25,15,10,92,0,92,20,
application_194_bundle.zip,Applicant_194,BN/2012/154868,Uasin Gishu,Textile,Mpesa- Statements,722346163,Pass,All requirements met and satisfied,5,Strong track record and compliance.,5,Solid financial performance with profitability.,4,Strong demand but vulnerable to larger players and imports.,4,"Practical growth plan, though financing remains a barrier.",1,Relevant for Kenya’s economy but out of program scope,5,Excellent inclusivity and sustainability practices.,,Tier 2,100,100,80,80,20,100,10,20,16,20,3,10,79,0,79,81,
application_195_bundle.zip,Applicant_195,CS 1043,Nyandarua,Dairy,Bank statements,701498080,Pass,All requirements met and satisfied,5,Long operational history with governance,3,Fits rubric band KES 1–<5M = score 3.,4,"Evidence of consistent demand and multiple buyers, but no contracts attached",4,"Clear direction, feasible plan, but not fully costed",5,Fills a critical node in a priority VC,5,Meets full inclusivity & sustainability anchor,,Tier 1,100,60,80,80,100,100,10,12,16,20,15,10,83,0,83,58,
application_196_bundle.zip,Applicant_196,CS/26414,Kericho,Dairy,Statement of cashflows,722523377,Pass,All requirements met and satisfied,5,Registered and functioning governance,5,Meets ≥10M turnover with positive trend,5,"Multi-channel sales, contracts with major processors, repeat customers",5,Detailed execution plan with SMART goals and investments,5,Fills a critical node in the Dairy VC with documented linkages upstream & downstream,4,"Strong gender/youth participation, at least 1–2 green practices",,Tier 1,100,100,100,100,100,80,10,20,20,25,15,8,98,0,98,5,
application_197_bundle.zip,Applicant_197,CS/0894,Kiambu,Dairy,Mpesa- Statements,713833814,Pass,All requirements met and satisfied,5,Registered and well-governed,5,Fits rubric for ≥10M with strong stability and growth.,5,"Multiple channels, brand presence, and large customer base",5,"Well-structured plan with targets, investments, and timelines",5,Strong alignment and multiple roles in dairy value chain,5,Meets women/youth leadership participation + multiple green practices,,Tier 1,100,100,100,100,100,100,10,20,20,25,15,10,100,0,100,1,
application_198_bundle (1).zip,Applicant_198,KJET-A28F0198,West Pokot,Dairy,Bank Statements,726943444,Pass,All documents presented,5,Well structured,2, 921413 Turnover,3,Regular local sales,4,Has strong plan,4,Strong linkages,5,High women and green practices adopted,,,100,40,60,80,80,100,10,8,12,20,12,10,72,0,72,120,
application_199_bundle (1).zip,Applicant_199,KJETB7190199,Nairobi .,Dairy, Bank statements ,706892217,Pass,All documents  presented ,4,1-3 yes documented leadership ,1,Reported turnover,3,Weak evidence,2,Vagu7e plan,3,Weak linkages,4,Strong gender,,,80,20,60,40,60,80,8,4,12,10,9,8,51,0,51,200,
application_200_bundle.zip,Applicant_200,CS/12415,Nakuru,Dairy,Bank  statements,726072377,Pass,All documents presented ,3,"Formal entity, but limited operational maturity",1,"Financial distress, very weak position",2,Extremely limited market linkages and dependency on one buyer,2,"Aspirational but vague, no financial capacity to implement.",3,"Aligned but only basic role in chain, low integration.",2,ome inclusivity but limited sustainability evidence.,,Tier 2,60,20,40,40,60,40,6,4,8,10,9,4,41,0,41,222,
application_201_bundle.zip,Applicant_201,CS/11254,Kitui,Construction,Cash Book registry,722694365,Pass,All requirements met and satisfied,4,1–3 years+ documented leadership; regular governance,2,turnover <1M; sporadic/early-stage records,3,"regular local sales, emerging demand, but limited traction so far)",4,"Ambitious growth plan: sand yards, depots, packaging, processing plant, cabro-blocks, poles.",5,"priority VC, critical aggregation/processing role with strong upstream & downstream linkages",4,strong gender/youth participation + multiple sustainability practices,,Tier 1,80,40,60,80,100,80,8,8,12,20,15,8,71,0,71,123,
application_202_bundle.zip,Applicant_202,CS/1050,Nyandarua,Dairy,Balance Sheets,712096437,Pass,All requirements met and satisfied,5,"registered ≥3 yrs, active governance, audited continuity",5,"turnover >10M, positive multi-year trend, formal systems",5,"active contracts/channels, multi-market presence, defensible quality)",5,"clear problem-solution, quantified targets, detailed execution plan",5,critical VC node with extensive linkages),5,"strong gender balance, youth engagement, multiple green practices",,Tier 1,100,100,100,100,100,100,10,20,20,25,15,10,100,0,100,1,
application_203_bundle.zip,Applicant_203,PVT-KAUZEAY7,Trans Nzoia,Dairy,Statement of cashflows,724975807,Pass,All requirements met and satisfied,3,<3 years but registered with governance in place,3,turnover 1–5M; stable/recovering; basic records,3,"regular sales, one main channel, some differentiation on freshness/locality",4,strong plan with some gaps in resourcing & execution capacity,4,"priority VC, clear node participation, building linkages",5,≥30% women leadership/ownership + youth + 2+ green practices,,Tier 1,60,60,60,80,80,100,6,12,12,20,12,10,72,0,72,120,
application_204_bundle.zip,Applicant_204,PVT-MKU5BK2,Makueni,Construction,Mpesa- Statements,701008001,Pass,All requirements met and satisfied,2,"Registered, operational for 3+ years, but very limited governance detail",2,"KES 0.7–1.5M, fluctuating, uses receipt book only",1,"Very weak description (""sales channel""), no competitor mapping",1,"""Expansion"" only, vague, no structured plan",0,"Not aligned (construction), lacks defined supply chain node",3,"100% woman-owned, youth employees, but no green practices",,Tier 2,40,40,20,20,0,60,4,8,4,5,0,6,27,0,27,228,
application_205_bundle.zip,Applicant_205,RA-YLTZEK,Lamu,Construction,Nil,727934457,Fail,Invalid certificate and financial credentials,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,
application_206_bundle.zip,Applicant_206,CS/5023,Uasin Gishu,Dairy,Bank Statements,721948508,Pass,All requirements met and satisfied,5,"Cooperative registered, >3 yrs in existence, growing membership (353 → 651).",4,Turnover growth: 13.3M (2022) → 22.5M (2023) → 38.3M (2024).,4,"large consistent demand, multiple sales channels, clear competitor landscape",4,well-articulated plan with clear growth pathway,4,"clear VC role, expanding beyond bulking into processing)",4,"good female participation, some youth inclusion, multiple green practices",,Tier 1,100,80,80,80,80,80,10,16,16,20,12,8,82,0,82,62,
application_207_bundle.zip,Applicant_207,26834,Isiolo,Dairy,Bank Statements,728627410,Pass,All requirements met and satisfied,3,"Registered MSME association, growing membership (90 → 310 in 3 years).",2,Very low turnover (15k → 25k → 500k).,2,"limited market penetration, unclear competitive edge",2,"aspirational but weak, lacks concrete growth roadmap",3,aligned but underdeveloped role,3,"strong women inclusion, weak youth, sustainability mostly conceptual",,Tier 2,60,40,40,40,60,60,6,8,8,10,9,6,47,0,47,209,
application_208_bundle.zip,Applicant_208,CS/13928,Laikipia,Dairy,Income Statement,721295184,Fail,Income statement has limited financial records,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,
application_209_bundle.zip,Applicant_209,KJET-B6220209,Meru,Dairy,Bank Statements,721770094,Pass,All documents presented,5,Registered more than 5 years,4,"8,216,000 turn over Stable Bank statements",4,Consistent and growing orders but no digital channels,4,"quantified targets, growth direction, execution steps, but budget and risk details are thin.",5,"Priority dairy VC; aggregation, processing, strong upstream/downstream linkages.",4,Strong gender balance but low youth inclusivity 100/513,,Tier 1,100,80,80,80,100,80,10,16,16,20,15,8,85,0,85,48,
application_210_bundle.zip,Applicant_210,CS/15746,Meru,Dairy,Balance Sheets,721871893,Pass,All documents presented,5,"Registered more than 5 years, governance, evidence of operation but not audit handovers",5,"over 90M turnover, 2 yr trend, stamped income statements",4,"Strong consistent market demand, but no active contracts/POs or digital/export channels",4,"Strong plan with quantified targets, clear execution, and risk management no costed budget",5,"Priority dairy VC; aggregation, processing, strong upstream/downstream linkages.",5,"30% women leadership, multiple green practices, strong inclusivity",,Tier 1,100,100,80,80,100,100,10,20,16,20,15,10,91,0,91,22,
application_211_bundle.zip,Applicant_211,Cs/14527,Nyandarua,Dairy,"Balance Sheets, Bank and Income statements excel imports",701691150,Pass,All documents presented,5,Registered more than 5 years,5,Turnover >10M; mostly stable; bank/Mpesa + one statement.,3,Regular local sales; one channel; emerging quality practices,4,"Strong plan with quantified targets, clear execution, and risk management no costed budget",5,Fully aligned with dairy priority value chain,3,moderate inclusion no green practices ,P1,Tier 1,100,100,60,80,100,60,10,20,12,20,15,6,83,5,78,89,
application_212_bundle.zip,Applicant_212,BN-7ZCXBA79,Nandi,Dairy,Mpesa- Statements,712212727,Fail,Mpesa statement is password protected,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,
application_213_bundle (1).zip,Applicant_213,CS/21240,Kakamega,Edible Oils,Bank Statements,728423430,Fail,Bank statement has limited financial records,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,
application_214_bundle.zip,Applicant_214,MC/3396/2023,Meru,Dairy,Nil,721244946,Fail,No financial records provided ,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,
application_215_bundle (1).zip,Applicant_215,PVT-9XUKGV82,Kajiado,Construction,Bank Statements,718417554,Pass,All requirements met and satisfied,5,well-structured company with clear track record,4,"Turnover: steady growth → 5M (2022), 7M (2023), 9M (2024).",4,"competitive with niche service edge, but limited by machinery",4,"realistic, investment-focused, but proposal could use stronger financial projections",5,Fully integrated in construction VC: raw material sourcing → production → installation.,4,"excellent youth inclusion & sustainability, but no strong gender ownership/leadership",,Tier 1,100,80,80,80,100,80,10,16,16,20,15,8,85,0,85,48,
application_216_bundle.zip,Applicant_216,PVT-8LUX5XG,Uasin Gishu,Construction,Balance Sheets,722315291,Pass,All requirements met and satisfied,4,"legitimate and consistent, but membership base is small",3,"Turnover: 4.3M (2022), 7.2M (2023), 9.0M (2024).",4,"clear demand with diverse clients, but competitive pressures remain high",4,"growth-oriented plan, but requires capital and technical BDS support to de-risk",5,well integrated in the construction value chain),3,"good sustainability, but weak gender inclusion",,Tier 1,80,60,80,80,100,60,8,12,16,20,15,6,77,0,77,96,
application_217_bundle.zip,Applicant_217,PVT-AAACXE5,Uasin Gishu,Construction,Balance sheets ,722315291,Pass,All requirements met and satisfied,4,"legitimate registration, stable but limited growth in membership",1,"Turnover: 24.5M (2022), 28.5M (2023), 38.2M (2024).",4,"products are in high demand, but strong competitive pressures",3,"vision is ambitious, but viability is constrained by financial losses",5,excellent alignment across value chain,3,"good youth and environmental practices, weak women participation",,Tier 1,80,20,80,60,100,60,8,4,16,15,15,6,64,0,64,156,
application_218_bundle.zip,Applicant_218,BN-DBCP 2557,Kericho,Dairy,Bank Statements,722941958,Pass,All requirements met and satisfied,4,"Works with 350+ smallholder farmers (supply aggregation). Formalized operations, processing, packaging, and structured marketing channels. Expansion plans into Lake Region & COMESA markets",5,"Strong financial record, realistic projections, and profit-driven model.",4,"Strong market strategy with cultural uniqueness, though still scaling and facing large processors.",4,"profitable, scalable, and well-structured business model with year-on-year growth, clear expansion strategy, and strong alignment with formal market requirements. Risks are acknowledged with mitigation plans. Growth viability is very strong.",4,fully aligned under Dairy (excluding farming) because its business model is centered on processing and value addition,4,"Strong youth representation, balanced gender at employee level, but not formally woman-owned.",,Tier 2,80,100,80,80,80,80,8,20,16,20,12,8,84,0,84,53,
application_219_bundle.zip,Applicant_219,DSD/23/123/02/37810,Turkana,Construction,Mpesa statement,728986068,Fail,Mpesa statement is locked and cant be verified ,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,
application_220_bundle.zip,Applicant_220,BN-GVCQXMLZ,Baringo,Dairy,Mpesa statement,719220779,Pass,A registered business that is in line with the scope and mpesa financial evidence,5,registered for 5 years,4,has a turnover of about 8M,3,has regular local sale to customers and excess to brookside,2,problem statement is not clear and not quntifieable ,3,the linkages are weak but with potential for growth,3,moderate inclusion of women and the youth,,Tier 2,100,80,60,40,60,60,10,16,12,10,9,6,63,0,63,160,
application_221_bundle.zip,Applicant_221,CS/28623(unverifiable),Kericho,Dairy,unverifiable annual report & financial statement,726363756,Fail,unverifiable documents of registration and financial evidence.,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,
application_222_bundle.zip,Applicant_222,CS/14117,Laikipia,Construction,bank statement,720069704,Pass,A registered co-operative that is in line with the scope and has bank statement financial evidence.,5,registered for 14 years,3,has a turnover of 3M as is in the bank statement.,4,Has growing channels including digital marketing,2,the problem statement is vague without clear and quantifiable target and solution,3,there are weak linkages with potential for growth,4,there is strong youth and women participation the operations of the co-operative.,,Tier 1,100,60,80,40,60,80,10,12,16,10,9,8,65,0,65,151,
application_223_bundle.zip,Applicant_223,PVT/2016/027737,Kiambu,Other,Cash Book registry,721518182,Fail,Out of scope in value chain for agro-economics,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,
application_224_bundle.zip,Applicant_224,CS/14895,Nyandarua,Textile,Statement of Cashflows,712495964,Pass,All requirements met and satisfied,5,"Legally compliant cooperative with strong growth in members and workforce, showing organizational stability.",2,"Strong sales growth but no profitability indicates high costs, inefficiency, or reinvestment without surplus.",4,"Competitive advantage through raw material access and diversified market channels, though facing established urban competitors.",4,"Ambitious and well-targeted expansion plan to boost efficiency, product quality, and inclusivity.",5,"Deep participation in multiple stages of value chain, with potential for diversification and strong local linkages.",5,Strong environmental conservation measures and proactive inclusivity programs.,,Tier 1,100,40,80,80,100,100,10,8,16,20,15,10,79,0,79,81,
application_225_bundle.zip,Applicant_225,PVT-7LUZ9MG,Kitui,Construction,Cash Based Books,721353490,Pass,All requirments met and satisfied ,4,"Properly registered, with stable growth.",5,Very high profitability and consistent growth,4,Strong positioning for future expansion,5,"Strong environmental stewardship and inclusivity, directly addressing ecological risks of sand harvesting.",3,"Still at lower-value stage, but clear vision to move up value chain with packaging equipment.",5,"Strong environmental stewardship and inclusivity, directly addressing ecological risks of sand harvesting.",,Tier 2,80,100,80,100,60,100,8,20,16,25,9,10,88,0,88,35,
application_226_bundle.zip,Applicant_226,CS/16456,Murang'a,Dairy,Bank statements,721535328,Pass,All requirments met and satisfied ,4,"Legally compliant and with a good operational record. Slight weaknesses: relatively modest profits compared to turnover, suggesting efficiency challenges.",3,High revenue volume but very low profitability and declining net income signal cost inefficiencies or weak bargaining power.,3,"Local brand strength among farmers, but currently lacks differentiated product presence in consumer markets.",4,"Ambitious and practical roadmap. However, financing and execution capacity remain uncertain.",3,Presently stuck at low-value segment of dairy chain.,3,Some environmental efforts but relatively minimal scale.,,Tier 1,80,60,60,80,60,60,8,12,12,20,9,6,67,0,67,142,
application_227_bundle.zip,Applicant_227,CS/26626,Kakamega,Other,Bank statements,722554727,Fail,Out of scope in value chain and low absolute turnover,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,
application_228_bundle.zip,Applicant_228,CS/26373,Kericho,Other,Balanced sheet and income statements,720463580,Fail,Out of scope in value chain and very weak finanacial history,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,
application_229_bundle.zip,Applicant_229,CS/29989,Turkana,Construction,Bank statements,797405556,Pass,All requirments met and satisfied ,3,Formally structured but inconsistency in membership raises governance questions.,3,"Demonstrates growth with sustainability, but still limited financial base for scaling.",3,"Demand is steady in construction, but competition from informal players and brokers reduces competitiveness.",3,Clear growth vision but heavily reliant on external support for machinery and skills.,4,Fully embedded in the construction value chain with potential for vertical expansion.,4,Good gender/youth participation and visible environmental practices.,,Tier 1,60,60,60,60,80,80,6,12,12,15,12,8,65,0,65,151,
application_230_bundle.zip,Applicant_230,CS/28659,Kericho,Dairy,Balance Sheet,723892359,Pass,All requirments met and satisfied ,3,"Registered cooperative, in operation at least since 2022; structured governance with named officials.",2,(turnover <1M; sporadic/unstable records,3,"Mix of B2B & B2C but no digital channels; small scale, but recurring sales.",3,"clear direction, generic targets, rough budget",4,"Operates in priority dairy VC, handling aggregation & some value addition.",5,"≥50% women, sustainability practices adopted",,Tier 1,60,40,60,60,80,100,6,8,12,15,12,10,63,0,63,160,
application_231_bundle.zip,Applicant_231,CS/12-451,Meru,Other,Bank statements,720408877,Fail,Out of scope in value chain for soap production,,,,,,,,,,,,,,Tier 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,
application_232_bundle.zip,Applicant_232,PVT-MKU9ELKQ,Mombasa,Blue Economy,Mpesa-Statement,755686506,Pass,All requirments met and satisfied ,4,"Formally registered private company, structured with CEO & CFO. Active in seafood & catering since 2022, still young compared to older cooperatives.",3,"Growth from Ksh 40k (2022) → 70k (2023) → 1M (2024). Profitability present, but 2024 net profit margin is thin (~7%). Scaling rapidly, but financials are still modest.",4,"Serves households (75%), restaurants & hotels (25%). Competes with local distributors but differentiates through sustainability & catering niche. Exploring Nairobi market shows strong demand potential.",4,"Clear expansion plan: Nairobi entry, cold storage & transport investment, partnerships with restaurants, digital marketing. Viable but depends on stabilizing raw material supply.",4,"Engages in procurement (from fishermen), processing (cleaning, packaging, cooking), and marketing (B2B + B2C, plus e-commerce). Well integrated but lacks large-scale infrastructure.",5,"40% women, women in leadership, 100% youth members (18–35). Sustainable fishing practices, waste reuse, energy efficiency, and community partnerships for biodiversity. Strong inclusivity & green practices.",,Tier 2,80,60,80,80,80,100,8,12,16,20,12,10,78,0,78,89,
