,,"Eligibility Criteria
Decision Box – Eligibility
If any E1–E5 fails → mark INELIGIBLE; exclude from scoring.
If all pass → proceed to Primary Criteria scoring.",,,,,,,"Scoring Rubrics (0–5 anchors per criterion)
Choose the best-fit level per criterion.
Evidence Box – Financial
Accept: bank/M-Pesa PDFs, screenshots (machine-readable if possible), Excel exports, signed income summaries, simple stock/COGS ledgers.",,,,,,,,,,,, Disqualifiers & Penalties,TIERS,NORMALIZED SCORE,,,,,,WEIGHTED SCORING,,,,,,,COMPOSITE SCORE,,RANK,
application_KJET-20251230225720-SMYK_with_attachments_2026-01-13_17-18-24,Applicant_KJET-20251230225720-SMYK,CS/11759,BARINGO,Dairy,,yes,yes,All requirements met,5,registered since 2008 active governance,1,thin and minimal evidence of transactions,3,has regular local sales and 2 channels,3,clear plan but no budget,3,priority value chain with weak market linkages. the group aggregate and sell the milk to processors. ,1,has both youth and women but no evidence of green practices,,,100,20,60,60,60,20,10,4,12,15,9,2,52,0,52,16,
application_KJET-20251231094345-RTMH_with_attachments_2026-01-13_17-20-28,Applicant_KJET-20251231094345-RTMH,CS 3797,BARINGO,Dairy,,yes,yes,All requirements met,5,registered in 1982 as a co-operative,2,has a turnover less than 1M ,3,has regular local sales and 2 channels,3,clear plan but no budget,5,priority value chain involved in milk aggregation and processing.,4,has both youth and women with some aspect of green practices.,,,100,40,60,60,100,80,10,8,12,15,15,8,68,0,68,7,
application_KJET-20251231112405-OPXW_with_attachments_2026-01-13_17-18-22,Applicant_KJET-20251231112405-OPXW,PVT-KAU887X,BARINGO,Dairy,,yes,yes,All requirements met,4,registered since 2019,0,no finanacial records,3,has regular local sales and 2 channels,3,clear plan but no budget,5,priority value chain involved in production and processing of milk,3,moderate inclusion with some green practices,DQ1,,80,0,60,60,100,60,8,0,12,15,15,6,56,#N/A,DQ,#VALUE!,
application_KJET-20251231132604-IIRS_with_attachments_2026-01-13_17-18-17,Applicant_KJET-20251231132604-IIRS,CS/5114,BARINGO,Coffee,,yes,yes,All requirements met,5,registered since 1988 as a cooperative society,3,has turnover more than 1M,5,has multiple sales channel ,3,clear plan but no budget,5,priority value chain aggregating milk and processing,4,has both youth and women with some aspect of green practices.,,,100,60,100,60,100,80,10,12,20,15,15,8,80,0,80,3,
application_KJET-20251231134600-57MO_with_attachments_2026-01-13_17-18-15,Applicant_KJET-20251231134600-57MO,PLC-2JS732,BARINGO,Coffee,,yes,yes,All requirements met,4,registered in 2021,2,has a turnover less than 1M,5,has a regular local and export sales channel,3,clear plan but no budget,3,priority value chain with week linkages,4,has both youth and women with some aspect of green practices.,,,80,40,100,60,60,80,8,8,20,15,9,8,68,0,68,7,
application_KJET-20251231190016-T0JM_with_attachments_2026-01-13_17-19-56,Applicant_KJET-20251231190016-T0JM,CS/969,BARINGO,Dairy,,yes,yes,All requirements met,5,registered since 1963 as aco-operative,5,has a turnover of more than 10M ,4,has  regular channel of sales including digital marketing. ,3,clear plan but no budget,5,"priority value chain that includes aggregation,processing and value addition of milk",4,has both youth and women with some aspect of green practices.,,,100,100,80,60,100,80,10,20,16,15,15,8,84,0,84,1,
application_KJET-20251231214405-HRDX_with_attachments_2026-01-13_17-18-11,Applicant_KJET-20251231214405-HRDX,PVT-6LUK5AX2,BARINGO,OTHER,beekeeping and honey processing,yes,yes,All requirements met,4,registered as a company in 2025,4,has a turnover of more than 5M,4,has  regular channel of sales including digital marketing. ,3,clear plan but no budget,5,"the group is involved in the entire value chain including production and value addition,processing",4,has both youth and women with some aspect of green practices.,,,80,80,80,60,100,80,8,16,16,15,15,8,78,0,78,4,
application_KJET-20251231214553-IVSQ_with_attachments_2026-01-13_17-18-10,Applicant_KJET-20251231214553-IVSQ,PVT-JZUA5J9M,BARINGO,Textiles,,yes,yes,All requirements met,4,registered for more than a year,2,has a turnover less than 1M,3,has 2 regular channels of sales,3,clear plan but no budget,2,the company is involved in uniform making,0,no records of youth and women involvement,,,80,40,60,60,40,0,8,8,12,15,6,0,49,0,49,17,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOMET,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,
application_KJET-20251216204409-W7LA_with_attachments_2026-01-13_17-26-07,Applicant_KJET-20251216204409-W7LA,CS/30094,BOMET,Edible Oils,,Yes,Yes,"All requirements met, within PVC, valid registration cert(2024), provided contacts  ",3,"Registered for <1yr, documented leadership structure",2,"Turnover <1M, sporadic records noted",4,"Consistent monthly orders, growing channels",4,Detailed 5-year strategic plan with measurable targets,5,aggregation and bulking role within the avocado value chain ,4,Strong women/youth participation. Adopted 2 green practices ,,,60,40,80,80,100,80,6,8,16,20,15,8,73,0,73,3,
application_KJET-20251223222003-W7XZ_with_attachments_2026-01-13_17-26-04,Applicant_KJET-20251223222003-W7XZ,CPR/2014/160052,BOMET,Textiles,,Yes,Yes,"All requirements met, within PVC, valid registration cert, provided contacts  ",5,Registered ≥3 years; functioning governance.,3,"Turnover 3M, provided bank statements",4,"Consistent monthly orders, growing channels",3,Clear direction but generic targets/budget.,5,Priority VC with clear node participation.,2,Female participation extremely low; ad-hoc green steps.,,,100,60,80,60,100,40,10,12,16,15,15,4,72,0,72,4,
application_KJET-20251224134753-G9QK_with_attachments_2026-01-13_17-26-02,Applicant_KJET-20251224134753-G9QK,CS/21860,BOMET,Dairy,,Yes,Yes,"All requirements met, within PVC, valid registration cert, provided contacts  ",5,Registered ≥3 years; functioning governance.,3,"Turnover between 2-3M, But negative trend noted in turnover",3,Stable demand but limited diversification,3,General growth direction but limited investment detail.,5,Direct role in priority value chain with aggregation and services.,4,Balanced gender participation + green practices.,,,100,60,60,60,100,80,10,12,12,15,15,8,72,0,72,4,
application_KJET-20251224142825-BWBB_with_attachments_2026-01-13_17-25-59,Applicant_KJET-20251224142825-BWBB,BN-VZSOZ339,BOMET,Dairy,,Yes,Yes,"All requirements met, within PVC, valid registration cert, provided contacts  ",2,"Registered <1 year, no governance structure",1,Zero revenue reported (2022–2024).,2,"Claims of high demand but no contracts, buyers, or orders documented.
Sales limited to general customers.
No competitive analysis or differentiation provided.",2,Vague plan; unclear resourcing.,5,Clear node participation in priority value chain.,1,Token inclusion; no green practices,,,40,20,40,40,100,20,4,4,8,10,15,2,43,0,43,13,
application_KJET-20251226113028-MQKO_with_attachments_2026-01-13_17-25-54,Applicant_KJET-20251226113028-MQKO,PVT-XYU8M83J,BOMET,Construction Materials,,Yes,Yes,"All requirements met, within PVC, valid registration cert, provided contacts  ",3,Governance structure minimal but functional.,1,"Extremely low reported revenues (KES 5,000 → 70,000).",2,Limited differentiation,1,"No clear business expansion plan, No investment budget or projections,Objectives vague",2,Peripheral participation,1,No sustainability or environmental practices described.,,,60,20,40,20,40,20,6,4,8,5,6,2,31,0,31,16,
application_KJET-20251229181901-RMCS_with_attachments_2026-01-13_17-28-33,Applicant_KJET-20251229181901-RMCS,CS/7971,BOMET,Dairy,,Yes,Yes,"All requirements met, within PVC, valid registration cert, provided contacts  ",5,Registered in 1996. Strong governance structure with board and management.,5,Verified financial statements show turnover exceeding KES 10M annually with stable performance over three years,5,Established market,5,Detailed 5-year strategic plan with measurable targets,5,Strong upstream  and downstream  linkages.,4,Strong women/youth participation. Adopted multiple green practices ,,,100,100,100,100,100,80,10,20,20,25,15,8,98,0,98,1,
application_KJET-20251230112211-UXSB_with_attachments_2026-01-13_17-25-51,Applicant_KJET-20251230112211-UXSB,CS/12577,BOMET,Tea,,Yes,Yes,"All requirements met, within PVC, valid registration cert, provided contacts  ",5,Established in 2010 with large membership growth. Strong governance structure and sustained operations over time.,1,"Thin evidence, stated financials dont match what is in the statement",5,Established market,4,Targets not strongly formalized,5,They have a complete vertical integration model.,4,youth inclusion not strongly demonstrated,P1,,100,20,100,80,100,80,10,4,20,20,15,8,77,5,72,4,
application_KJET-20251230120719-NBZP_with_attachments_2026-01-13_17-25-49,Applicant_KJET-20251230120719-NBZP,BMT3*/1680/2015,BOMET,Dairy,,No,Yes,"All requirements met, within PVC, valid registration cert, provided contacts  ",3,Limited governance (only Chairperson & Secretary),0,"No financial evidence, provided random photo as financial attachment",2,Weak channels,2,"Current operations minimal, no concrete operational roadmap",2,No processing or distribution infrastructure yet,3,No sustainability or environmental practices described.,,,60,0,40,40,40,60,6,0,8,10,6,6,36,0,36,14,
application_KJET-20251230193014-NQ9M_with_attachments_2026-01-13_17-25-47,Applicant_KJET-20251230193014-NQ9M,DSD/47/277/01/132500,BOMET,Dairy,,Yes,Yes,"All requirements met, within PVC, valid registration cert, provided contacts  ",3,Registered <1 year,0,Locked mpesa statements,2,Limited differentiation,2,Aspirational but no operational or financial track record yet,3,Potential for upgrade,3,Women inclusion not demonstrated,P2,,60,0,40,40,60,60,6,0,8,10,9,6,39,3,36,14,
application_KJET-20251231115737-VEKR_with_attachments_2026-01-13_17-25-32,Applicant_KJET-20251231115737-VEKR,PVT-6LUV9R2,BOMET,Construction Materials,,Yes,Yes,"All requirements met, within PVC, valid registration cert, provided contacts  ",5,Registered since 2018,3,Turnover between 1-5M,3,Regular local sales,4,Minor gaps in plan,3,Supplies construction materials and also offers construction services,4,Moderate adoption of sustainability measures,,,100,60,60,80,60,80,10,12,12,20,9,8,71,0,71,7,
application_KJET-20251231154931-NZZF_with_attachments_2026-01-13_17-25-30,Applicant_KJET-20251231154931-NZZF,CS/27483,BOMET,OTHER,"avocado production, marketing, farmer training",Yes,Yes,"All requirements met, within PVC, valid registration cert, provided contacts  ",5,Registered since 2022,2,"Turnover <1M, sporadic records noted",4,Growing channels incl. international,4,Minor gaps in plan,0,Not in priority VC,4,"Intent on sustainability through reforestation, strong inclusivity",,,100,40,80,80,0,80,10,8,16,20,0,8,62,0,62,8,
application_KJET-20251231161452-RJ7S_with_attachments_2026-01-13_17-25-27,Applicant_KJET-20251231161452-RJ7S,BMT/1351/2018,BOMET,Dairy,,Yes,Yes,"All requirements met, within PVC, valid registration cert, provided contacts  ",5,Registered since 2018,2,"Turnover <1M, sporadic records noted",3,One channel for sales,4,Clear operational plans but dependent on external support for equipment,2,Peripheral role in dairy farming,3,Green initiatives limited,,,100,40,60,80,40,60,10,8,12,20,6,6,62,0,62,8,
application_KJET-20251231163423-TRFT_with_attachments_2026-01-13_17-25-24,Applicant_KJET-20251231163423-TRFT,CS/12632,BOMET,Tea,,Yes,Yes,"All requirements met, within PVC, valid registration cert, provided contacts  ",5,Established in 2010,2,Turnover <1M ,0,Replied N/A to market and e commerce fields,4,Clear direction but generic targets/budget.,1,Marginal role,3,"Partial sustainability, moderate social inclusivity",,,100,40,0,80,20,60,10,8,0,20,3,6,47,0,47,12,
application_KJET-20251231175044-M9P1_with_attachments_2026-01-13_17-25-22,Applicant_KJET-20251231175044-M9P1,CS/16254,BOMET,Dairy,,Yes,Yes,"All requirements met, within PVC, valid registration cert, provided contacts  ",2,Dormant/irregular governance,5,Turnover ≥ KES 10M; positive 2 yr trend,3,regular local sales,2,vague plan ,2,no linkages,1,Token inclusion; no green practices,,,40,100,60,40,40,20,4,20,12,10,6,2,54,0,54,10,
application_KJET-20251231180334-6MBX_with_attachments_2026-01-13_17-25-20,Applicant_KJET-20251231180334-6MBX,CS/6780,BOMET,Tea,,Yes,Yes,"All requirements met, within PVC, valid registration cert, provided contacts  ",5,Registered since 1993,5,Turnover ≥ KES 10M; positive 2 yr trend,3,No digital marketplace channels in use. ,4,no detailed costed budget or explicit risk mitigation plan provided.,4,Upstream and downstream linkages to factories and farmers documented,3,Low women/youth inclusivity,,,100,100,60,80,80,60,10,20,12,20,12,6,80,0,80,2,
application_KJET-20251231180357-QKZM_with_attachments_2026-01-13_17-25-19,Applicant_KJET-20251231180357-QKZM,ASS-E36946B,BOMET,Construction Materials,,Yes,Yes,"All requirements met, within PVC, valid registration cert, provided contacts  ",2,Dormant/irregular governance,1,Thin evidence ,1,Sporadic sales,0,No plan provided,2,Unclear node participation,0,"No sustainability or environmental practices described, no gender/youth inclusivity",,,40,20,20,0,40,0,4,4,4,0,6,0,18,0,18,17,
application_KJET-20251231235927-AS54_with_attachments_2026-01-13_17-25-14,Applicant_KJET-20251231235927-AS54,BMT/254/2013,BOMET,Dairy,,Yes,Yes,"All requirements met, within PVC, valid registration cert, provided contacts  ",5,"Registered since 2013, documented leadership",2,Turnover <1M,3,regular local sales,2,"Vague plan, unclear resourcing",2,Peripheral role in dairy farming,4,Moderate inclusivity,,,100,40,60,40,40,80,10,8,12,10,6,8,54,0,54,10,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUNGOMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
application_KJET-20251205153932-GAPD_with_attachments_2026-01-13_17-31-35,Applicant_KJET-20251205153932-GAPD,KIM/1384/15,BUNGOMA,Dairy,,Yes mpesa statement,yes-phone number and email address given,Registered Self Help Group (KIM/1384/15) since 2015 that deals with milk production.,5,"Established in 2015, they have a decade of continuity. Their membership is stable, suggesting strong internal cohesion and member discipline.",0,The mpesa statement given is locked hence we ca not verify their position financially.,3,"They have identified a clear catch in traditional products like Mursik and cooking oil from cream. However, their market is currently limited to local consumers. Moving into B2B (hotels/institutions) will require formalization and certification.",3,"They mention Milking technology and Milk processing technology but lack a detailed budget or specific equipment list. To grow, they need to move from a member's home to a dedicated processing center",5,Dairy is a prioritized value chain since they have mentioned selling mursik and oil cream this means they process their milk either to oil or fermented milk.,5,Over 50% of members (10/19) are aged 18–35 and 49% are female(9/19). Their sustainability practices—using solar power and making silage to avoid overgrazing—are excellent green initiatives for a small cluster,,,100,0,60,60,100,100,10,0,12,15,15,10,62,0,62,#VALUE!,
application_KJET-20251212165532-2YFL_with_attachments_2026-01-13_17-31-33,Applicant_KJET-20251212165532-2YFL,RA-KGSRE5,BUNGOMA,OTHER,poultry and apiculture,no-hand written cash flow statement attached,yes-phone number and email address given,MSME Association (Reg. RA-KGSRE5) established in 2025 that deals with poultry farming and apiculture.,3,"Regestred in 2025.However, the leadership structure is well-defined, and they have clear bylaws.",0,The financial evidence given(cash flow) given is not offficially recognized hence we can not judge the association's financial position by using it.,3,"The choice to combine poultry and bees is ecologically and economically sound. Bees increase fruit/crop yields in the area, while poultry provides quick cash flow. Their B2B focus (Hotels/Schools) shows an understanding of Value-Volume dynamics.",3,"Their 3-year investment plan is realistic. They are starting with production (hives/incubators) and moving into value addition (wax candles/branded honey). The projected margins (30-40%) are healthy for the Bungoma region.The only problem is that they lack a clear budget for the production of beehives and incubators and the wax,branded honey.",0,They are dealing with poultry keeping and bee keeping (honey harvesting) which are not in any Value Chain that we are evaluating.,5,100% women-owned. They have integrated circular economy principles (composting poultry droppings for fertilizer) and climate-resilience (pollinator protection). This is a Green Economy benchmark project.,,,60,0,60,60,0,100,6,0,12,15,0,10,43,0,43,#VALUE!,
application_KJET-20251221182959-L0CL_with_attachments_2026-01-13_17-31-31,Applicant_KJET-20251221182959-L0CL,No regestration certificate,BUNGOMA,OTHER,planting of sugarcane and after 8months I harvested and take to factory,no any financial statement attached.,yes-phone number and email address given,"No regestered certificate to proof if it is a functioning association,no financial evidence to proof if the association is running.",0,We can not verify  when was the association started and neither can we verify whether it is running smoothly.,0,No financial statement given hence no evidence for verifying the financial position for the association.,2,"Sugarcane has high demand in Western Kenya (Nzoia, Mumias factories). However, the applicant lacks a unique selling proposition (USP). The competitive advantage is listed only as ""good harvested modules.",0,"The applicant states no to having clear objectives or performance targets. There is no specific equipment list or investment budget provided, which is a requirement for KJET funding",0,Sugarcane is not a major value chain that the KJET is evaluating hence falling out of the scoope.,2,"While they mention planting more trees, there is no evidence of a systematic green initiative or climate-resilient farming strategy specifically for the sugarcane crop",P2,,0,0,40,0,0,40,0,0,8,0,0,4,12,3,9,#VALUE!,
application_KJET-20251222194917-NUXG_with_attachments_2026-01-13_17-31-29,Applicant_KJET-20251222194917-NUXG,DSD/39/220/01/144764,BUNGOMA,Dairy,,yes-mpesa statement attached,yes-phone number and email address given,Self Help Group (Reg. DSD/39/220/01/144764) established in 2017 that deals with dairy farming (milk production and processing),5,"Operating since 2017 with a steady membership increase (from 15 to 30) shows long-term sustainability and local trust.They also have a very organized structure(chairperson,secretary,treasurer).",2,"The Turn Over for 2025 is KSH 63,394 which is way below the 1M threshold.",3,"They have identified a sophisticated gap: the difference between crushed mash and Total Mixed Rations (TMR). By targeting the Dry Season Slump, they are solving the most critical problem for dairy farmers in Bungoma.their market is only in Bungoma,they do not have any market outside Bungoma neither do they have any online customers.",3,"They aren't just asking for machines ,they are asking for a Moisture Content Tester (to prevent aflatoxin) and a Vertical Mixer (to prevent selective feeding). Their target to triple production to 600kg/day is well-justified,their only problem is they do not have a concrete budget to buy the machines required.",3,"Dairy is a core priority for KJET, and feed represents the highest cost-center for dairy farmers,They manufacture, and process dairy feeds,they are still in the starting process but they have a potential to growth",5,"Strong female representation (26 out of 30 members).Their Green Practices focuses on Waste-to-Feed Upcycling, converting agricultural by-products (maize germ, oilseed cakes) into high-value protein, which prevents methane release from rotting crop residues.",,,100,40,60,60,60,100,10,8,12,15,9,10,64,0,64,#VALUE!,
application_KJET-20251226215407-ZHBI_with_attachments_2026-01-13_17-31-27,Applicant_KJET-20251226215407-ZHBI,DSD/39/217/01/74089,BUNGOMA,Dairy,,yes-mpesa statement and bank statement given.,yes-phone number and email address given,"Self Help Group (Reg. DSD/39/217/01/74089) since 2022 that deals with commercial production .of high-quality natural milk and the breeding of top-tier dairy heifers
under the zero grazing unit system.",4,3 years of doing business they have scaled from 3 to 10 members,2,"The paid out amount in the bank statement is KSH 602,446 which is way too low 1M threshhold.",3,"They are targeting high-value B2B clients (Colleges, Supermarkets, Hotels). Their strategy to compete with giants like Brookside through Green Leadership and AI Technology shows a modern, disruptive mindset.No any online market for their products.",4,"Their request for a ""lorry"" for a 10-member group may be premature given current revenue levels (KES 320k). However, their focus on a Milk Cooling Machine and Chaff Cutter is perfectly aligned with scaling their current zero-grazing operations.They have an unfinished budget.",3,Deal with milk production in large quantity.Planning to strt milk processing.,5,"They have implemented a comprehensive green stack: solar energy, biogas, rainwater harvesting, and drought-resistant fodder (Brachiaria). Their 60% female employment rate within a youth group is excellent",,,80,40,60,80,60,100,8,8,12,20,9,10,67,0,67,#VALUE!,
application_KJET-20251227094218-I1IV_with_attachments_2026-01-13_17-31-25,Applicant_KJET-20251227094218-I1IV,DSD/39/216/02/25954,BUNGOMA,Dairy,,yes-bank statement attached,yes-phone number and email address given,CBO (Reg. DSD/39/216/02/25954) established in 2024 that deals with milk processing.,3,"Regestered for 1 year with a working governance(chairperson,secretary,treasurer)",2,"Turn over for 2024 is KSH 138,875 which is way lower than the 1M threshhold.",3,They have identified a high-value niche: Cross-border trade with Uganda. Their proximity to the border and existing B2C trust in local schools and hotels provides a solid foundation for expansion.,3,"Their focus on a 1,000L cooler and last-mile motorcycles is the correct intervention for Mt. Elgon’s terrain. Their goal to reduce post-harvest losses to <5% is a high-impact KPI.No budget given.",2,"Dairy is a priority value chain for Bungoma County, especially in the high-altitude Mt. Elgon region.They do not deal with any milk processing.",5,93% women membership. Their sustainability practices (manure recycling and drought-tolerant fodder like Brachiaria) are well-aligned with climate-smart agriculture,,,60,40,60,60,40,100,6,8,12,15,6,10,57,0,57,#VALUE!,
application_KJET-20251229133413-KPIF_with_attachments_2026-01-13_17-31-24,Applicant_KJET-20251229133413-KPIF,BN-GVCJLLMP,BUNGOMA,Edible Oils,,no-bank statement with very few transactions attached,yes-phone number and email adress given.,Private Company (Reg. BN-GVCJLLMP) established in 2010 used in sun flower processing.,5,Well established company(16 yrs in work) dealing with sun flower processing to oil.,1,"The bank statement given has only 5 days transaction for march 2025, this transacions can not be used to places the company financially.",3,"They correctly identify Oil Seed Cake (animal feed) as a 20% revenue stream, effectively running a zero-waste operation. While they face competition from giants like Bidco, their focus on local B2C (90%) and fresh/pure oil gives them a local competitive edge.No online market",3,The proposal highlights that their current technology is not seamless and suffers from breakdowns. Their growth strategy relies on moving from 1-ton to 3-ton daily capacity. They need a more detailed specification for the refining/purification stage to meet KEBS standards consistently. No budget,5,Edible oils are a high-priority sector for KJET and national food security.They process sun flower seeds to sun flower oil.,4,"50% women involved,50% youth involved Their Green Initiative includes agro-ecological farming and bio-char production,they did not say how this agro-ecological farming will help the environment.",,,100,20,60,60,100,80,10,4,12,15,15,8,64,0,64,#VALUE!,
