Rank,Application ID,Applicant Name,Eligibility Status,Composite Score,S1_Registration_Track_Record_5% Score,S1_Registration_Track_Record_5% Reason,S2_Financial_Position_20% Score,S2_Financial_Position_20% Reason,S3_Market_Demand_Competitiveness_20% Score,S3_Market_Demand_Competitiveness_20% Reason,S4_Business_Proposal_Viability_25% Score,S4_Business_Proposal_Viability_25% Reason,S5_Value_Chain_Alignment_10% Score,S5_Value_Chain_Alignment_10% Reason,S6_Inclusivity_Sustainability_20% Score,S6_Inclusivity_Sustainability_20% Reason,Ineligibility Criterion Failed,Reason
11,Meru_ODUE,Miitine Farmers Co-operative Society ltd,ELIGIBLE,76.00,5,Established in 1999 (26 years); Cooperative status.,5,"2024 Revenue: KES 13,027,233.00; Accounting system: QuickBooks.",2,B2B Sales: 0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Coffee priority value chain.,5,Woman-owned enterprise,,
12,Meru_LIHS,Kathera Youth/Women in Coffee,ELIGIBLE,76.00,5,Established in 2005 (20 years); Cooperative status.,5,"2024 Revenue: KES 56,712,934.00; Accounting system: None.",2,B2B Sales: 0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Coffee priority value chain.,5,Woman-owned enterprise,,
13,Meru_FBS2,Kathera Farmers CO-operative Society Limited,ELIGIBLE,76.00,5,Established in 2005 (20 years); Cooperative status.,5,"2024 Revenue: KES 56,712,934.00; Accounting system: None.",2,B2B Sales: 0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Coffee priority value chain.,5,Woman-owned enterprise,,
14,Meru_KG2X,BRICKVILLE VENTURES LIMITED,ELIGIBLE,70.00,3,Established in 2022 (3 years); Private Company status.,5,"2024 Revenue: KES 28,096,000.00; Accounting system: None.",5,B2B Sales: 100.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Construction priority value chain.,1,Limited evidence of inclusivity profile.,,
15,Meru_RSTF,NUTRI NUTS & FRUITS LIMITED,ELIGIBLE,63.00,4,Established in 2019 (6 years); Private Company status.,5,"2024 Revenue: KES 327,100,000.00; Accounting system: QuickBooks.",3,B2B Sales: 15.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with other priority value chain.,1,Limited evidence of inclusivity profile.,,
16,Meru_QQY1,Rakton Contractors Ltd,ELIGIBLE,63.00,4,Established in 2016 (9 years); Private Company status.,5,"2024 Revenue: KES 108,384,263.00; Accounting system: QuickBooks.",3,B2B Sales: 10.0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Construction priority value chain.,1,Limited evidence of inclusivity profile.,,
17,Meru_PZZC,Joma Herbal Enterprise Ltd,ELIGIBLE,62.00,3,Established in 2023 (2 years); Private Company status.,2,"2024 Revenue: KES 30,000.00; Accounting system: None.",2,B2B Sales: 0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Edible Oils priority value chain.,5,Woman-owned enterprise,,
18,Meru_QO7I,SIMATI ME ENTERPRISE,ELIGIBLE,58.00,3,Established in 2022 (3 years); Other status.,5,"2024 Revenue: KES 2,300,000.00; Accounting system: None.",2,B2B Sales: 0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with other priority value chain.,1,Limited evidence of inclusivity profile.,,
19,Meru_YAHC,TIGANIA NORTH FCS LTD,ELIGIBLE,44.00,5,Established in 2006 (19 years); Cooperative status.,1,2024 Revenue: KES 0.00; Accounting system: None.,2,B2B Sales: 0%; Market strategy reported.,3,Structured expansion plans provided,4,Aligned with Coffee priority value chain.,1,Limited evidence of inclusivity profile.,,
,Meru_B8DY,MAKENA TEXTILES WORKSHOP,INELIGIBLE,0.00,,,,,,,,,,,,,E4,No financial evidence (Bank/Mpesa) attached.
