Rank,Application ID,Applicant Name,Eligibility Status,Composite Score,S1_Registration_Track_Record_5% Score,S1_Registration_Track_Record_5% Reason,S2_Financial_Position_20% Score,S2_Financial_Position_20% Reason,S3_Market_Demand_Competitiveness_20% Score,S3_Market_Demand_Competitiveness_20% Reason,S4_Business_Proposal_Viability_25% Score,S4_Business_Proposal_Viability_25% Reason,S5_Value_Chain_Alignment_10% Score,S5_Value_Chain_Alignment_10% Reason,S6_Inclusivity_Sustainability_20% Score,S6_Inclusivity_Sustainability_20% Reason,Ineligibility Criterion Failed,Reason
11,Kakamega_D7ZJ,ABACHAMANA DAIRY FARMERS COOPERATIVE SOCIETY,ELIGIBLE,65.20,5.0,Established in 2014 (11 years); Cooperative status.,2.7,"2024 Revenue: KES 156,000.00; Accounting system: QuickBooks.",2.4,B2B Sales: 0.0%; Market strategy reported.,3.4,Structured expansion plans provided,5.0,Aligned with Dairy priority value chain.,3.2,Limited evidence of inclusivity profile.,,
12,Kakamega_AHTN,BUTAYI MUUNGANO SHG,ELIGIBLE,65.00,4.8,Established in 2018 (7 years); MSME Association status.,2.7,"2024 Revenue: KES 120,000.00; Accounting system: QuickBooks.",2.4,B2B Sales: 0.0%; Market strategy reported.,3.4,Structured expansion plans provided,5.0,Aligned with Dairy priority value chain.,3.2,Limited evidence of inclusivity profile.,,
13,Kakamega_WSXT,MARENYO MULTIPURPOSE COOPERATIVE SOCIETY LTD,ELIGIBLE,64.50,5.0,Established in 2005 (20 years); Cooperative status.,2.3,"2024 Revenue: KES 100,000.00; Accounting system: None.",2.4,B2B Sales: 0.0%; Market strategy reported.,3.5,Structured expansion plans provided,5.0,Aligned with Dairy priority value chain.,3.3,Limited evidence of inclusivity profile.,,
14,Kakamega_II9Z,EBWAMBWA WAJANE WOMEN GROUP,ELIGIBLE,64.30,4.8,Established in 2016 (9 years); Other status.,2.3,"2024 Revenue: KES 370,000.00; Accounting system: None.",2.4,B2B Sales: 0.0%; Market strategy reported.,3.5,Structured expansion plans provided,5.0,Aligned with Edible Oils priority value chain.,3.3,Limited evidence of inclusivity profile.,,
15,Kakamega_F3KE,KAKAMEGA COUNTY FISH FARMERS CO-OPERATIVE SOCIETY LIMITED,ELIGIBLE,63.60,5.0,Established in 2012 (13 years); Cooperative status.,2.3,"2024 Revenue: KES 27,000.00; Accounting system: None.",3.9,B2B Sales: 15.0%; Market strategy reported.,3.4,Structured expansion plans provided,5.0,Aligned with Blue Economy priority value chain.,1.7,Limited evidence of inclusivity profile.,,
16,Kakamega_V64S,Sabatia Umoja Self Help Group,ELIGIBLE,63.00,4.8,Established in 2018 (7 years); MSME Association status.,3.7,"2024 Revenue: KES 1,000,000.00; Accounting system: QuickBooks.",2.4,B2B Sales: 0.0%; Market strategy reported.,3.4,Structured expansion plans provided,5.0,Aligned with Dairy priority value chain.,1.7,Limited evidence of inclusivity profile.,,
17,Kakamega_1QH8,Butere Utawala Self Help Group,ELIGIBLE,59.20,5.0,Established in 2015 (10 years); MSME Association status.,2.7,"2024 Revenue: KES 280,000.00; Accounting system: QuickBooks.",2.4,B2B Sales: 0.0%; Market strategy reported.,3.4,Structured expansion plans provided,5.0,Aligned with Dairy priority value chain.,1.7,Limited evidence of inclusivity profile.,,
18,Kakamega_BJON,EMURWA TWENDE MBELE SELF HELP GROUP,ELIGIBLE,59.20,5.0,Established in 2012 (13 years); MSME Association status.,2.7,"2024 Revenue: KES 80,000.00; Accounting system: QuickBooks.",2.4,B2B Sales: 0.0%; Market strategy reported.,3.4,Structured expansion plans provided,5.0,Aligned with Dairy priority value chain.,1.7,Limited evidence of inclusivity profile.,,
19,Kakamega_JDED,WEST STREET STAGE MANYULIA,ELIGIBLE,59.00,4.8,Established in 2018 (7 years); MSME Association status.,2.7,"2024 Revenue: KES 130,000.00; Accounting system: QuickBooks.",2.4,B2B Sales: 0.0%; Market strategy reported.,3.4,Structured expansion plans provided,5.0,Aligned with Dairy priority value chain.,1.7,Limited evidence of inclusivity profile.,,
20,Kakamega_SX6G,KHUMAILO VISION BODA BODA GROUP,ELIGIBLE,59.00,4.8,Established in 2018 (7 years); MSME Association status.,2.7,"2024 Revenue: KES 200,000.00; Accounting system: QuickBooks.",2.4,B2B Sales: 0.0%; Market strategy reported.,3.4,Structured expansion plans provided,5.0,Aligned with Dairy priority value chain.,1.7,Limited evidence of inclusivity profile.,,
21,Kakamega_TFBO,Boda boda corner Self Help Group,ELIGIBLE,59.00,4.8,Established in 2016 (9 years); MSME Association status.,2.7,"2024 Revenue: KES 60,000.00; Accounting system: QuickBooks.",2.4,B2B Sales: 0.0%; Market strategy reported.,3.4,Structured expansion plans provided,5.0,Aligned with Dairy priority value chain.,1.7,Limited evidence of inclusivity profile.,,
22,Kakamega_HGXO,LUBAO FREQUENCY MODULATION,ELIGIBLE,58.90,5.0,Established in 2017 (8 years); Private Company status.,2.7,"2024 Revenue: KES 185,000.00; Accounting system: QuickBooks.",2.5,B2B Sales: 0.0%; Market strategy reported.,3.5,Structured expansion plans provided,3.8,Aligned with other priority value chain.,2.0,Limited evidence of inclusivity profile.,,
23,Kakamega_673K,IMBANDA SUGAR CANE AND DAIRY SHG,ELIGIBLE,58.50,4.3,Established in 2020 (5 years); MSME Association status.,2.7,"2024 Revenue: KES 230,000.00; Accounting system: QuickBooks.",2.4,B2B Sales: 0.0%; Market strategy reported.,3.4,Structured expansion plans provided,5.0,Aligned with Dairy priority value chain.,1.7,Limited evidence of inclusivity profile.,,
24,Kakamega_VAE9,EMUTSASA BRIGHT VULNERABLE C.B.O.,ELIGIBLE,58.00,3.8,Established in 2022 (3 years); MSME Association status.,2.7,"2024 Revenue: KES 60,000.00; Accounting system: QuickBooks.",2.4,B2B Sales: 0.0%; Market strategy reported.,3.4,Structured expansion plans provided,5.0,Aligned with Dairy priority value chain.,1.7,Limited evidence of inclusivity profile.,,
25,Kakamega_S6WQ,BUTERE COFFEE FARMERS CO-OPERATIVE SOCIETY LIMITED,ELIGIBLE,50.30,2.1,Established in 2025 (0 years); Cooperative status.,1.7,2024 Revenue: KES 0.00; Accounting system: QuickBooks.,2.4,B2B Sales: 0.0%; Market strategy reported.,3.4,Structured expansion plans provided,3.8,Aligned with Coffee priority value chain.,1.8,Limited evidence of inclusivity profile.,,
