Rank,Application ID,Applicant Name,Eligibility Status,Composite Score,S1_Registration_Track_Record_5% Score,S1_Registration_Track_Record_5% Reason,S2_Financial_Position_20% Score,S2_Financial_Position_20% Reason,S3_Market_Demand_Competitiveness_20% Score,S3_Market_Demand_Competitiveness_20% Reason,S4_Business_Proposal_Viability_25% Score,S4_Business_Proposal_Viability_25% Reason,S5_Value_Chain_Alignment_10% Score,S5_Value_Chain_Alignment_10% Reason,S6_Inclusivity_Sustainability_20% Score,S6_Inclusivity_Sustainability_20% Reason,Ineligibility Criterion Failed,Reason
11,Baringo_CLVU,BARINGO FISHERMEN CO-OPERATIVE SOCIETY LIMITED,ELIGIBLE,72.20,5.0,Established in 1965 (60 years); MSME Association status.,2.3,"2024 Revenue: KES 400,000.00; Accounting system: None.",4.6,B2B Sales: 30.0%; Market strategy reported.,3.6,Structured expansion plans provided,3.8,Aligned with other priority value chain.,3.5,Limited evidence of inclusivity profile.,,
12,Baringo_OPXW,kiroruya company ltd,ELIGIBLE,72.20,4.6,Established in 2019 (6 years); Private Company status.,2.8,"2024 Revenue: KES 600,000.00; Accounting system: None.",3.6,B2B Sales: 5.0%; Market strategy reported.,3.6,Structured expansion plans provided,5.0,Aligned with Dairy priority value chain.,3.5,Limited evidence of inclusivity profile.,,
13,Baringo_9XQ4,KABIMOI FARMERS COOPERATIVE SOCIETY LIMITED,ELIGIBLE,71.60,5.0,Established in 1985 (40 years); Cooperative status.,4.8,"2024 Revenue: KES 9,550,232.00; Accounting system: None.",2.5,B2B Sales: 0.0%; Market strategy reported.,3.4,Structured expansion plans provided,3.8,Aligned with Coffee priority value chain.,3.2,Limited evidence of inclusivity profile.,,
14,Baringo_UNQH,Sesya Beekeepers CBO,ELIGIBLE,71.00,4.0,Established in 2022 (3 years); Other status.,3.3,"2024 Revenue: KES 2,225,000.00; Accounting system: None.",3.5,B2B Sales: 7.0%; Market strategy reported.,3.4,Structured expansion plans provided,5.0,Aligned with Edible Oils priority value chain.,3.2,Limited evidence of inclusivity profile.,,
15,Baringo_MZVO,BARINGO FRUITS COOPERATIVE SOCIETY,ELIGIBLE,67.80,3.6,Established in 2023 (2 years); Cooperative status.,2.3,"2024 Revenue: KES 15,000.00; Accounting system: None.",4.4,B2B Sales: 30.0%; Market strategy reported.,3.4,Structured expansion plans provided,3.8,Aligned with other priority value chain.,3.2,Limited evidence of inclusivity profile.,,
16,Baringo_TARS,KAMPI YA SAMAKI COMMUNITY WATER DEVELOPMENT PROJECT (CBO),ELIGIBLE,60.50,1.8,Established in 2024 (1 years); MSME Association status.,2.3,"2024 Revenue: KES 150,000.00; Accounting system: None.",2.6,B2B Sales: 0.0%; Market strategy reported.,3.5,Structured expansion plans provided,3.8,Aligned with other priority value chain.,3.5,Limited evidence of inclusivity profile.,,
17,Baringo_57MO,Baringo Cha Coffee Mill Plc,ELIGIBLE,60.30,4.1,Established in 2022 (3 years); Cooperative status.,3.8,"2024 Revenue: KES 2,500,000.00; Accounting system: None.",2.4,B2B Sales: 0.0%; Market strategy reported.,3.4,Structured expansion plans provided,3.8,Aligned with Coffee priority value chain.,1.7,Limited evidence of inclusivity profile.,,
18,Baringo_27OG,LOLONGBEI FARMERS CO-OPERATIVE SOCIETY LIMITED,ELIGIBLE,59.20,2.1,Established in 2024 (1 years); Cooperative status.,3.7,"2024 Revenue: KES 1,500,000.00; Accounting system: Other.",2.4,B2B Sales: 0.0%; Market strategy reported.,3.5,Structured expansion plans provided,3.8,Aligned with other priority value chain.,1.9,Limited evidence of inclusivity profile.,,
19,Baringo_A8YI,Mogoswok Beekeepers Co-operative Society,ELIGIBLE,56.50,5.0,Established in 1973 (52 years); Cooperative status.,2.3,"2024 Revenue: KES 357,111.00; Accounting system: None.",2.5,B2B Sales: 0.0%; Market strategy reported.,3.5,Structured expansion plans provided,3.8,Aligned with other priority value chain.,1.8,Limited evidence of inclusivity profile.,,
20,Baringo_Y8RE,Baringo bio enterprise cooperative society LTD,ELIGIBLE,56.40,2.2,Established in 2025 (0 years); Cooperative status.,1.7,2024 Revenue: KES 0.00; Accounting system: QuickBooks.,2.4,B2B Sales: 0.0%; Market strategy reported.,3.4,Structured expansion plans provided,3.8,Aligned with other priority value chain.,3.3,Limited evidence of inclusivity profile.,,
