county,applications,total_documents,pdf_documents,image_documents,apps_with_registration,apps_with_financial,apps_with_bank_statements,apps_with_application_form,apps_with_balance_sheets,apps_with_income_statements,apps_with_cashflow_statements,apps_with_mpesa_statements,cooperative_count,company_count,group_count,sacco_count,processing_errors,value_chains_mentioned
Mandera,5,14,13,0,0,1,2,5,0,0,1,2,0,0,0,0,0,"Dairy, Construction, Livestock, Tea, Services, Textiles, Technology, Rice, Leather, Manufacturing, Transport, Retail"
Marsabit,4,8,6,0,0,1,0,4,1,0,0,1,0,0,0,0,0,"Dairy, Services, Tea, Textiles, Technology, Rice, Manufacturing, Agriculture, Transport, Retail"
Meru,22,63,57,0,0,11,8,22,5,7,5,5,0,0,0,0,0,"Dairy, Construction, Livestock, Forestry, Services, Textiles, Tea, Technology, Rice, Minerals, Manufacturing, Edible Oils, Agriculture, Transport, Retail"
Migori,12,41,39,0,0,4,8,12,3,2,2,3,0,0,0,0,0,"Dairy, Construction, Livestock, Services, Textiles, Rice, Technology, Retail, Manufacturing, Edible Oils, Agriculture, Transport, Tea"
Mombasa,7,17,16,0,0,0,3,7,0,0,0,5,0,0,0,0,0,"Dairy, Construction, Livestock, Services, Textiles, Rice, Technology, Retail, Leather, Manufacturing, Blue Economy, Agriculture, Transport, Tea"
Murang'a,9,34,34,0,0,6,5,9,5,4,3,1,0,0,0,0,0,"Dairy, Services, Tea, Textiles, Technology, Rice, Minerals, Manufacturing, Agriculture, Transport, Retail"
Nairobi,25,81,74,0,0,8,15,25,3,6,4,7,0,0,0,0,0,"Dairy, Construction, Livestock, Tea, Services, Textiles, Technology, Rice, Leather, Manufacturing, Edible Oils, Agriculture, Transport, Retail"
Nakuru,9,24,22,0,0,5,4,9,3,4,3,0,0,0,0,0,0,"Dairy, Construction, Livestock, Services, Textiles, Rice, Technology, Retail, Minerals, Manufacturing, Agriculture, Transport, Tea"
Nandi,9,30,29,0,0,5,2,9,4,2,3,3,0,0,0,0,0,"Dairy, Construction, Livestock, Forestry, Services, Textiles, Rice, Technology, Retail, Minerals, Manufacturing, Agriculture, Transport, Tea"
Narok,3,7,7,0,0,0,3,3,0,0,0,1,0,0,0,0,0,"Dairy, Construction, Services, Rice, Technology, Retail, Manufacturing, Agriculture, Transport, Tea"
Nyamira,4,11,11,0,0,1,3,4,1,0,1,1,0,0,0,0,0,"Dairy, Livestock, Services, Textiles, Technology, Rice, Retail, Manufacturing, Edible Oils, Agriculture, Transport, Tea"
Nyandarua,11,28,28,0,0,6,7,11,3,1,5,0,0,0,0,0,0,"Dairy, Livestock, Forestry, Services, Tea, Textiles, Technology, Rice, Manufacturing, Agriculture, Transport, Retail"
Nyeri,14,32,32,0,0,9,7,14,4,5,2,1,0,0,0,0,0,"Dairy, Construction, Livestock, Services, Tea, Technology, Rice, Leather, Manufacturing, Agriculture, Transport, Retail"
Samburu,6,13,12,0,0,0,5,6,0,0,0,2,0,0,0,0,0,"Dairy, Construction, Livestock, Forestry, Services, Textiles, Rice, Technology, Leather, Manufacturing, Agriculture, Transport, Retail"
Siaya,9,19,17,0,0,2,4,9,1,1,1,1,0,0,0,0,0,"Construction, Livestock, Services, Textiles, Technology, Rice, Retail, Manufacturing, Edible Oils, Agriculture, Transport, Tea"
Taita Taveta,6,11,10,0,0,2,2,6,0,1,1,0,0,0,0,0,0,"Dairy, Construction, Livestock, Services, Tea, Textiles, Technology, Rice, Minerals, Manufacturing, Agriculture, Transport, Retail"
Tana River,3,5,5,0,0,0,1,3,0,0,0,1,0,0,0,0,0,"Dairy, Livestock, Services, Rice, Technology, Manufacturing, Agriculture, Transport, Retail"
Tharaka Nithi,9,24,24,0,0,5,6,9,1,4,2,0,0,0,0,0,0,"Dairy, Construction, Livestock, Services, Textiles, Technology, Rice, Retail, Leather, Manufacturing, Agriculture, Transport, Tea"
Trans Nzoia,4,17,16,0,0,3,1,4,1,2,2,0,0,0,0,0,0,"Dairy, Services, Textiles, Rice, Technology, Retail, Manufacturing, Agriculture, Transport, Tea"
Turkana,10,20,20,0,0,1,5,10,1,0,0,4,0,0,0,0,0,"Dairy, Construction, Livestock, Forestry, Tea, Services, Textiles, Technology, Rice, Leather, Manufacturing, Blue Economy, Agriculture, Transport, Retail"
Uasin Gishu,20,52,50,0,0,9,10,20,6,3,2,5,0,0,0,0,0,"Dairy, Construction, Livestock, Forestry, Services, Textiles, Technology, Rice, Retail, Leather, Manufacturing, Agriculture, Transport, Tea"
Vihiga,5,10,10,0,0,1,3,5,0,1,0,1,0,0,0,0,0,"Dairy, Construction, Livestock, Services, Textiles, Tea, Technology, Rice, Manufacturing, Agriculture, Transport, Retail"
Wajir,14,30,24,0,0,2,5,14,1,1,0,3,0,0,0,0,0,"Dairy, Construction, Livestock, Forestry, Services, Tea, Textiles, Technology, Rice, Leather, Manufacturing, Agriculture, Transport, Retail"
West Pokot,6,13,13,0,0,2,5,6,0,1,1,0,0,0,0,0,0,"Dairy, Livestock, Services, Technology, Rice, Retail, Manufacturing, Agriculture, Transport, Tea"
